repeat,fold,method,sample_id,alarms,prediction,target
0,0,FixedThreshold,0,[],0,0
0,0,FixedThreshold,1,[],0,0
0,0,FixedThreshold,2,[],0,1
0,0,FixedThreshold,3,[],0,0
0,0,FixedThreshold,4,[],0,0
0,0,FixedThreshold,5,[],0,0
0,0,FixedThreshold,6,[],0,0
0,0,FixedThreshold,7,"[""n02""]",1,1
0,0,FixedThreshold,80,[],0,0
0,0,FixedThreshold,81,"[""n02""]",0,0
0,0,FixedThreshold,82,[],0,0
0,0,FixedThreshold,83,[],0,0
0,0,FixedThreshold,84,[],0,0
0,0,FixedThreshold,85,[],0,0
0,0,FixedThreshold,86,[],0,0
0,0,FixedThreshold,87,[],0,0
0,0,FixedThreshold,136,"[""n07"", ""n09""]",0,0
0,0,FixedThreshold,137,[],0,0
0,0,FixedThreshold,138,[],0,0
0,0,FixedThreshold,139,[],0,0
0,0,FixedThreshold,140,[],0,0
0,0,FixedThreshold,141,"[""n09""]",0,0
0,0,FixedThreshold,142,[],0,0
0,0,FixedThreshold,143,"[""n00"", ""n01"", ""n02"", ""n06"", ""n10""]",1,1
0,0,FixedThreshold,152,[],0,1
0,0,FixedThreshold,153,[],0,0
0,0,FixedThreshold,154,"[""n04"", ""n12""]",0,0
0,0,FixedThreshold,155,"[""n14""]",0,0
0,0,FixedThreshold,156,"[""n01"", ""n09""]",0,0
0,0,FixedThreshold,157,[],0,0
0,0,FixedThreshold,158,[],0,1
0,0,FixedThreshold,159,[],0,0
0,0,FixedThreshold,160,[],0,0
0,0,FixedThreshold,161,[],0,0
0,0,FixedThreshold,162,[],0,0
0,0,FixedThreshold,163,"[""n04""]",0,0
0,0,FixedThreshold,164,"[""n00"", ""n01"", ""n02""]",1,1
0,0,FixedThreshold,165,[],0,0
0,0,FixedThreshold,166,"[""n03""]",0,0
0,0,FixedThreshold,167,[],0,1
0,0,FixedThreshold,288,[],0,0
0,0,FixedThreshold,289,"[""n01"", ""n05""]",1,1
0,0,FixedThreshold,290,"[""n00""]",1,1
0,0,FixedThreshold,291,[],0,0
0,0,FixedThreshold,292,"[""n06""]",0,0
0,0,FixedThreshold,293,[],0,0
0,0,FixedThreshold,294,[],0,1
0,0,FixedThreshold,295,[],0,0
0,0,FixedThreshold,344,[],0,0
0,0,FixedThreshold,345,[],0,0
0,0,FixedThreshold,346,[],0,1
0,0,FixedThreshold,347,"[""n01"", ""n04"", ""n06""]",0,0
0,0,FixedThreshold,348,"[""n01""]",0,0
0,0,FixedThreshold,349,[],0,0
0,0,FixedThreshold,350,[],0,0
0,0,FixedThreshold,351,[],0,0
0,0,FixedThreshold,368,[],0,0
0,0,FixedThreshold,369,"[""n02""]",0,0
0,0,FixedThreshold,370,[],0,0
0,0,FixedThreshold,371,[],0,0
