case,fault,method,test_normal,test_fault,f1_macro,balanced_accuracy,false_alarm_rate,fault_period_recall
re2ob_checkoutservice_cpu_1,cpu,SingleCenter,144,721,0.8889385348617445,0.8652912621359223,0.25,0.9805825242718447
re2ob_checkoutservice_cpu_1,cpu,KMeans,144,721,0.8914932888912783,0.8687634843581445,0.24305555555555555,0.9805825242718447
re2ob_checkoutservice_cpu_1,cpu,MaxDeviation,144,721,0.8889385348617445,0.8652912621359223,0.25,0.9805825242718447
re2ob_checkoutservice_cpu_2,cpu,SingleCenter,144,210,0.7088927137119908,0.7057539682539682,0.5694444444444444,0.9809523809523809
re2ob_checkoutservice_cpu_2,cpu,KMeans,144,210,0.7058016079782614,0.7018849206349206,0.5486111111111112,0.9523809523809523
re2ob_checkoutservice_cpu_2,cpu,MaxDeviation,144,210,0.4639277746309547,0.5451388888888888,0.9097222222222222,1.0
re2ob_checkoutservice_cpu_3,cpu,SingleCenter,144,721,0.9616502463054187,0.9513937047310834,0.09027777777777778,0.9930651872399445
re2ob_checkoutservice_cpu_3,cpu,KMeans,144,721,0.9616502463054187,0.9513937047310834,0.09027777777777778,0.9930651872399445
re2ob_checkoutservice_cpu_3,cpu,MaxDeviation,144,721,0.8418574889163124,0.7916714825088611,0.4097222222222222,0.9930651872399445
re2ob_checkoutservice_delay_1,delay,SingleCenter,144,721,0.9533962227185455,0.9458410386808445,0.09722222222222222,0.9889042995839112
re2ob_checkoutservice_delay_1,delay,KMeans,144,721,0.945542684462352,0.9430671135768223,0.09722222222222222,0.9833564493758669
re2ob_checkoutservice_delay_1,delay,MaxDeviation,144,721,0.9488669950738916,0.9388965942364,0.1111111111111111,0.9889042995839112
re2ob_checkoutservice_delay_2,delay,SingleCenter,144,721,0.9512424439879961,0.9826629680998613,0.0,0.9653259361997226
re2ob_checkoutservice_delay_2,delay,KMeans,144,721,0.9512424439879961,0.9826629680998613,0.0,0.9653259361997226
re2ob_checkoutservice_delay_2,delay,MaxDeviation,144,721,0.9512424439879961,0.9826629680998613,0.0,0.9653259361997226
re2ob_checkoutservice_delay_3,delay,SingleCenter,144,721,0.9623793380503181,0.9868238557558946,0.0,0.9736477115117892
re2ob_checkoutservice_delay_3,delay,KMeans,144,721,0.9623793380503181,0.9868238557558946,0.0,0.9736477115117892
re2ob_checkoutservice_delay_3,delay,MaxDeviation,144,721,0.9623793380503181,0.9868238557558946,0.0,0.9736477115117892
re2ob_checkoutservice_disk_1,disk,SingleCenter,144,721,0.9317700103559969,0.9090335567884111,0.1736111111111111,0.9916782246879334
re2ob_checkoutservice_disk_1,disk,KMeans,144,721,0.8842891501797703,0.8409760748959778,0.3125,0.9944521497919556
re2ob_checkoutservice_disk_1,disk,MaxDeviation,144,721,0.9539207330066056,0.9513985205732778,0.08333333333333333,0.986130374479889
re2ob_checkoutservice_disk_2,disk,SingleCenter,144,721,0.6837561167669722,0.6388888888888888,0.7222222222222222,1.0
re2ob_checkoutservice_disk_2,disk,KMeans,144,721,0.8262161570546555,0.7673611111111112,0.4652777777777778,1.0
re2ob_checkoutservice_disk_2,disk,MaxDeviation,144,721,0.6151206636500754,0.5902777777777778,0.8194444444444444,1.0
re2ob_checkoutservice_disk_3,disk,SingleCenter,144,721,0.7655191108701545,0.7159808907381723,0.5555555555555556,0.9875173370319001
re2ob_checkoutservice_disk_3,disk,KMeans,144,721,0.728367923720346,0.6812586685159501,0.625,0.9875173370319001
re2ob_checkoutservice_disk_3,disk,MaxDeviation,144,721,0.8873113991359256,0.8520910386808445,0.2847222222222222,0.9889042995839112
re2ob_checkoutservice_loss_1,loss,SingleCenter,144,721,0.9586302549141519,0.9854368932038835,0.0,0.970873786407767
re2ob_checkoutservice_loss_1,loss,KMeans,144,721,0.9586302549141519,0.9854368932038835,0.0,0.970873786407767
re2ob_checkoutservice_loss_1,loss,MaxDeviation,144,721,0.9586302549141519,0.9854368932038835,0.0,0.970873786407767
re2ob_checkoutservice_loss_2,loss,SingleCenter,144,721,0.9439968208679655,0.9798890429958391,0.0,0.9597780859916782
