fault,method,cases,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,false_alarm_rate_mean,false_alarm_rate_std,fault_period_recall_mean,fault_period_recall_std
ALL,SingleCenter,90,0.9219066650750749,0.07999520312073748,0.9182460454022228,0.09456331648229752,0.1451388888888889,0.18948225653340323,0.9816309796933346,0.029815675532478204
ALL,KMeans,90,0.9261896905787949,0.06831133157925787,0.9207553453285938,0.08729158586755491,0.14228395061728394,0.17645530554212135,0.9837946412744717,0.01298112727455983
ALL,MaxDeviation,90,0.916105971413344,0.10256951124169222,0.9138289953372396,0.11230636789103111,0.15686728395061728,0.22823647530494112,0.9845252746250969,0.013051903030047152
cpu,SingleCenter,15,0.9306436500314672,0.07687056318674405,0.9294210715569939,0.08921425175425778,0.12592592592592594,0.17955819367201273,0.9847680690399137,0.01137977430135346
cpu,KMeans,15,0.9276533389774034,0.07475889034453406,0.9245800585606411,0.0857794550271085,0.13333333333333333,0.1661740404768298,0.9824934504546154,0.013909050220306142
cpu,MaxDeviation,15,0.8924636150590712,0.14085235813975064,0.8921861355113783,0.1367678357908188,0.20092592592592595,0.27696392017831645,0.9852981969486823,0.012291873525396974
delay,SingleCenter,15,0.9392048587537922,0.03505632707049909,0.9414024374582628,0.060487562704200755,0.09768518518518518,0.1308029851680204,0.9804900601017106,0.012994658762561225
delay,KMeans,15,0.93172525292872,0.03801075060527273,0.9316343042071199,0.06721873864243753,0.11666666666666667,0.14427072887414322,0.9799352750809063,0.012568958109501881
delay,MaxDeviation,15,0.9384693267117366,0.036822868069746016,0.9396427287203987,0.06377746758593077,0.10185185185185185,0.136301966396321,0.9811373092926491,0.010663774639523765
disk,SingleCenter,15,0.9060548525480798,0.09427951227714872,0.8938052216571635,0.11705881790752778,0.199537037037037,0.2367007498994024,0.987147480351364,0.006213014305069749
disk,KMeans,15,0.9144781592946026,0.07728837121487102,0.9005178635639801,0.10236014526852491,0.18657407407407406,0.2067377167792434,0.9876098012020342,0.0063008558122543265
disk,MaxDeviation,15,0.9169351249195417,0.09644471039688818,0.9126958442492422,0.11104403611124723,0.15925925925925927,0.2254763394660826,0.984650947757744,0.008918976000372126
loss,SingleCenter,15,0.9117235985781047,0.08804427171891954,0.9142292084039656,0.10500501659031762,0.14814814814814817,0.21599130770227642,0.9766065649560794,0.021517830611793777
loss,KMeans,15,0.9214710680845476,0.07059089959947254,0.9260816381568808,0.09184789174594697,0.12361111111111112,0.19013072176275114,0.9757743874248728,0.021124716962781495
loss,MaxDeviation,15,0.8942763851766029,0.1292559904658433,0.8981625956747318,0.13608100791636343,0.18287037037037038,0.28264177325205564,0.9791955617198337,0.023994280353650258
mem,SingleCenter,15,0.9400971710003228,0.05558498574734256,0.9307377662233739,0.07634699486081079,0.12731481481481483,0.15150231176556872,0.988790347261563,0.00624910107078309
mem,KMeans,15,0.9449121633788625,0.04991448601002445,0.9366634995156121,0.070163616689713,0.11574074074074074,0.1396227306268623,0.9890677397719652,0.006058108369302348
mem,MaxDeviation,15,0.9418688903890882,0.07131211550014102,0.9367595450444486,0.0912586259820846,0.11574074074074074,0.18417590374817758,0.9892598308296381,0.006308753287316016
socket,SingleCenter,15,0.9037158595386822,0.11099957266507257,0.8998805671135769,0.11303610350260582,0.1722222222222222,0.2148164539939284,0.971983356449376,0.06772054791246457
socket,KMeans,15,0.9168981608086333,0.09224680767836316,0.9050547079673292,0.10761180791953673,0.17777777777777778,0.2139101463359496,0.9878871937124366,0.006864447184339697
socket,MaxDeviation,15,0.9126224862240229,0.11054752927260572,0.9035271228232394,0.1267819624565667,0.18055555555555552,0.2505092916496749,0.9876098012020342,0.006743276601835528
