model,feature,n_folds,f1_decrease_mean,f1_decrease_std
LogisticRegression,root_cpu,10,0.001882806256573892,0.01053828408387194
LogisticRegression,root_errors,10,-0.003782882368302658,0.020481154550981207
LogisticRegression,root_latency,10,0.009612869723423848,0.020660452089613316
LogisticRegression,n_nodes,10,0.012679417385117076,0.01903272488242509
LogisticRegression,n_requires,10,0.022470909708141525,0.04386152546012513
LogisticRegression,n_replicas,10,0.00624035140635481,0.02181675486349912
LogisticRegression,mean_cpu,10,0.0316693794837674,0.016123065431087224
LogisticRegression,max_cpu,10,0.005678534999352214,0.010188918788220145
LogisticRegression,mean_errors,10,0.015255941162876027,0.02306143247219425
LogisticRegression,max_errors,10,0.0034739596776651735,0.019372456470039733
LogisticRegression,alarm_fraction,10,0.004021013023367137,0.010709359046331635
LogisticRegression,root_down,10,0.06437959482488502,0.02331197220812334
LogisticRegression,down_fraction,10,0.0021204446118812817,0.015440778332574595
LogisticRegression,reachable_fraction,10,0.005534896535859238,0.013768585749371062
LogisticRegression,exposed_fraction,10,0.003719946329365586,0.011920793587379205
LogisticRegression,reachable_down_fraction,10,-0.005257189496688049,0.011579252577250369
LogisticRegression,degraded_fraction,10,-0.0017215373558587452,0.010521980817691222
RandomForest,root_cpu,10,0.00026006822500877714,0.01699451733698828
RandomForest,root_errors,10,0.00995069681836373,0.01733582752313125
RandomForest,root_latency,10,0.014701018906321948,0.013965100793283123
RandomForest,n_nodes,10,0.005743697725172544,0.0069538798083224685
RandomForest,n_requires,10,-0.00022265301100857018,0.011176643880520774
RandomForest,n_replicas,10,-0.0001983228440757974,0.009006629025946246
RandomForest,mean_cpu,10,0.023272620295683992,0.02006421187792374
RandomForest,max_cpu,10,0.02296360798503915,0.009461363174221676
RandomForest,mean_errors,10,0.030704667189307457,0.022899216574245686
RandomForest,max_errors,10,0.008392240566471894,0.012640827684636279
RandomForest,alarm_fraction,10,0.000684731339413843,0.006743764558261844
RandomForest,root_down,10,0.02741303552956198,0.010447602505768467
RandomForest,down_fraction,10,0.010159715432462035,0.01397467528416661
RandomForest,reachable_fraction,10,0.0013877983369982997,0.013891187486707065
RandomForest,exposed_fraction,10,0.01101133677134425,0.01995398543508144
RandomForest,reachable_down_fraction,10,0.006416153421144402,0.013234648259998542
RandomForest,degraded_fraction,10,-0.0037895215626345693,0.01691271913376503
GradientBoosting,root_cpu,10,0.005302316754209339,0.0225086506039974
GradientBoosting,root_errors,10,0.0052623477292774055,0.014140935873813505
GradientBoosting,root_latency,10,0.008801936749898797,0.01705219782031545
GradientBoosting,n_nodes,10,-0.0026357914771871997,0.015381171134408324
GradientBoosting,n_requires,10,0.006695171994866122,0.022671026124315572
GradientBoosting,n_replicas,10,0.0026200242605525816,0.009028198480142767
GradientBoosting,mean_cpu,10,0.02375534532947198,0.02358219130713124
GradientBoosting,max_cpu,10,0.03423015566200719,0.023302769813806735
GradientBoosting,mean_errors,10,0.01153235520419441,0.021592922206324614
GradientBoosting,max_errors,10,0.0015052802465566136,0.007536426812667816
GradientBoosting,alarm_fraction,10,0.0015285344907474854,0.00852908054626624
GradientBoosting,root_down,10,0.06245084231344877,0.02986937539968035
GradientBoosting,down_fraction,10,0.0018220550659696448,0.011254194783342551
GradientBoosting,reachable_fraction,10,0.010462214011667225,0.017494319361951175
GradientBoosting,exposed_fraction,10,0.005058915010895433,0.01113809991644128
GradientBoosting,reachable_down_fraction,10,0.006418539934781642,0.015043816735929038
GradientBoosting,degraded_fraction,10,0.0009570316910633373,0.004256399401532566
