repeat,fold,model,fraction,n_train,train_f1,test_f1
0,0,LogisticRegression,0.4,304,0.6667269025503874,0.5830432842481035
0,0,RandomForest,0.4,304,0.7193786605551311,0.5139964264443121
0,0,GradientBoosting,0.4,304,0.7191136167880354,0.5104755570335883
0,0,LogisticRegression,0.7,536,0.6616367508366292,0.6109822346204669
0,0,RandomForest,0.7,536,0.7107366957539835,0.5282906491959499
0,0,GradientBoosting,0.7,536,0.6629658962728299,0.5089514066496164
0,0,LogisticRegression,1.0,768,0.6504813583056188,0.6042143838754008
0,0,RandomForest,1.0,768,0.6671256396686773,0.5065759637188209
0,0,GradientBoosting,1.0,768,0.6481871526456495,0.5246619691487335
0,1,LogisticRegression,0.4,304,0.6424370736297342,0.598375784422296
0,1,RandomForest,0.4,304,0.7466917112714844,0.5734110362411218
0,1,GradientBoosting,0.4,304,0.7543859649122806,0.5977908969720054
0,1,LogisticRegression,0.7,536,0.6322217647866063,0.6444444444444444
0,1,RandomForest,0.7,536,0.6829243416355588,0.5370362536486315
0,1,GradientBoosting,0.7,536,0.6529342595326527,0.5570745044429255
0,1,LogisticRegression,1.0,768,0.6388888888888888,0.6448098663926003
0,1,RandomForest,1.0,768,0.6876026860278829,0.5773125725493335
0,1,GradientBoosting,1.0,768,0.6594612570668441,0.5816993464052288
0,2,LogisticRegression,0.4,304,0.6714105566564583,0.5636277862955537
0,2,RandomForest,0.4,304,0.7234374787839287,0.5515183763444947
0,2,GradientBoosting,0.4,304,0.70070323488045,0.5852466301288698
0,2,LogisticRegression,0.7,528,0.6673796186272846,0.6019728303192871
0,2,RandomForest,0.7,528,0.6949768921888022,0.5780590717299579
0,2,GradientBoosting,0.7,528,0.6765620582414476,0.5742869306087697
0,2,LogisticRegression,1.0,760,0.6565696972390752,0.5865376664185893
0,2,RandomForest,1.0,760,0.6492273964172732,0.5592903828197946
0,2,GradientBoosting,1.0,760,0.6299296024508233,0.6148718708339506
0,3,LogisticRegression,0.4,304,0.7008434864104967,0.534351860530509
0,3,RandomForest,0.4,304,0.7743132887899035,0.5217391304347826
0,3,GradientBoosting,0.4,304,0.7709821428571428,0.536231884057971
0,3,LogisticRegression,0.7,536,0.6709418778384295,0.5639397099251113
0,3,RandomForest,0.7,536,0.7395216121625539,0.5530364372469636
0,3,GradientBoosting,0.7,536,0.7078001000929435,0.5570740798260599
0,3,LogisticRegression,1.0,776,0.6448701575138357,0.5550595238095238
0,3,RandomForest,1.0,776,0.6767693882593808,0.5401277422938073
0,3,GradientBoosting,1.0,776,0.6603776292345773,0.5028060694242361
0,4,LogisticRegression,0.4,304,0.6350877192982456,0.6452832333797573
0,4,RandomForest,0.4,304,0.6573770491803279,0.4810810810810811
0,4,GradientBoosting,0.4,304,0.6348634393440911,0.5012569130216189
0,4,LogisticRegression,0.7,536,0.6315956434387227,0.617717501082095
0,4,RandomForest,0.7,536,0.614119621103471,0.5542789691127288
0,4,GradientBoosting,0.7,536,0.6246498599439776,0.5465716687347396
0,4,LogisticRegression,1.0,768,0.6255174057833867,0.628034188034188
0,4,RandomForest,1.0,768,0.638095238095238,0.5685393258426966
0,4,GradientBoosting,1.0,768,0.6373795002951013,0.5751415819675205
1,0,LogisticRegression,0.4,304,0.6872251178671973,0.6065573770491803
1,0,RandomForest,0.4,304,0.7928383156541305,0.6178008704747123
1,0,GradientBoosting,0.4,304,0.7647422999535676,0.5841603361887829
1,0,LogisticRegression,0.7,536,0.641551052077368,0.6200675125130951
1,0,RandomForest,0.7,536,0.723942728416791,0.5913154533844189
1,0,GradientBoosting,0.7,536,0.6882778514434597,0.5355080380833463
1,0,LogisticRegression,1.0,768,0.645723003160074,0.62426614481409
1,0,RandomForest,1.0,768,0.6673853311970616,0.5619421206420365
1,0,GradientBoosting,1.0,768,0.6628275185652235,0.5355080380833463
1,1,LogisticRegression,0.4,304,0.6960565476190477,0.6188747731397459
1,1,RandomForest,0.4,304,0.7939804664141917,0.5924631812689809
1,1,GradientBoosting,0.4,304,0.7869158878504673,0.5920723006183606
1,1,LogisticRegression,0.7,536,0.674249699879952,0.6353171405548521
1,1,RandomForest,0.7,536,0.6886273165342933,0.5830052938781051
1,1,GradientBoosting,0.7,536,0.6590197306608205,0.5252747252747253
1,1,LogisticRegression,1.0,768,0.6408251551002214,0.6406533575317604
1,1,RandomForest,1.0,768,0.6317234695525763,0.5103272387657602
1,1,GradientBoosting,1.0,768,0.6109351007283943,0.5230731553720743
1,2,LogisticRegression,0.4,304,0.641086186540732,0.5753695728087533
1,2,RandomForest,0.4,304,0.6812181282769518,0.589543562239808
1,2,GradientBoosting,0.4,304,0.704713044667898,0.5607396016952331
1,2,LogisticRegression,0.7,536,0.635664867526188,0.595959595959596
1,2,RandomForest,0.7,536,0.6784183760927947,0.5894736842105264
1,2,GradientBoosting,0.7,536,0.6472319008904375,0.5968341140365045
1,2,LogisticRegression,1.0,768,0.6371965185524507,0.5988059701492537
1,2,RandomForest,1.0,768,0.6677209259280682,0.5913154533844189
1,2,GradientBoosting,1.0,768,0.6536305650409123,0.5804588731075386
1,3,LogisticRegression,0.4,304,0.6715962004097598,0.6491627475062157
1,3,RandomForest,0.4,304,0.7136210708449486,0.48717948717948717
1,3,GradientBoosting,0.4,304,0.6802603639538807,0.514559721011334
1,3,LogisticRegression,0.7,536,0.6437131320958251,0.6058902275769745
1,3,RandomForest,0.7,536,0.6800878902639349,0.5071507150715071
1,3,GradientBoosting,0.7,536,0.6800878902639349,0.5391697816250246
1,3,LogisticRegression,1.0,768,0.6423045348034339,0.671875
1,3,RandomForest,1.0,768,0.6807622250245201,0.5619421206420365
1,3,GradientBoosting,1.0,768,0.6615534636012451,0.5580952380952381
1,4,LogisticRegression,0.4,304,0.6395863412801821,0.6398788053671909
1,4,RandomForest,0.4,304,0.6896529012711585,0.5193022128896785
1,4,GradientBoosting,0.4,304,0.6765269206214088,0.5501133786848073
1,4,LogisticRegression,0.7,536,0.6445409055284259,0.6647654522174369
1,4,RandomForest,0.7,536,0.7154647435897437,0.5658213535777742
