repeat,fold,method,k,local_f1,local_false_alarm_rate,critical_f1_macro,critical_balanced_accuracy
0,0,FixedThreshold,1,0.5072463768115942,0.0008347245409015025,0.7553290083410564,0.7027027027027027
0,0,SingleCenter,1,0.7513812154696132,0.056343906510851416,0.8242253521126761,0.9161290322580645
0,0,KMeans,2,0.7311827956989247,0.06260434056761269,0.8242253521126761,0.9161290322580645
0,1,FixedThreshold,1,0.5357142857142857,0.0004065040650406504,0.7283251865191664,0.6764705882352942
0,1,SingleCenter,1,0.783109404990403,0.0459349593495935,0.8914553383944435,0.9556962025316456
0,1,KMeans,2,0.783109404990403,0.0459349593495935,0.8525798525798526,0.9367088607594937
0,2,FixedThreshold,1,0.5064102564102564,0.0008413967185527977,0.7003344481605351,0.65
0,2,SingleCenter,1,0.787052810902896,0.05258729490954985,0.823239803066085,0.9290123456790124
0,2,KMeans,2,0.7951807228915663,0.05006310475389146,0.8757281553398059,0.9537037037037037
0,3,FixedThreshold,1,0.45569620253164556,0.00038153376573826786,0.6127731092436974,0.5862068965517242
0,3,SingleCenter,1,0.800658978583196,0.04616558565433041,0.8660854402789886,0.9509202453987731
0,3,KMeans,2,0.795417348608838,0.04769172071728348,0.8876839310624128,0.9601226993865031
0,4,FixedThreshold,1,0.5225806451612903,0.0,0.7368928589554891,0.6931818181818181
0,4,SingleCenter,1,0.7910189982728842,0.04904742602351034,0.8885816692268305,0.9425675675675675
0,4,KMeans,2,0.7910189982728842,0.04904742602351034,0.882720238903217,0.9391891891891893
1,0,FixedThreshold,1,0.47491638795986624,0.0004063388866314506,0.7156759043790988,0.6744186046511628
1,0,SingleCenter,1,0.8136200716845878,0.042259244209670865,0.87547363031234,0.936241610738255
1,0,KMeans,2,0.8121645796064401,0.04266558309630231,0.9053521126760563,0.9530201342281879
1,1,FixedThreshold,1,0.49110320284697506,0.00039856516540454366,0.6791979949874687,0.6363636363636364
1,1,SingleCenter,1,0.7508896797153025,0.05579912315663611,0.8693511587879759,0.9465408805031447
1,1,KMeans,2,0.7364746945898778,0.06018333997608609,0.9034690799396682,0.9622641509433962
1,2,FixedThreshold,1,0.5751633986928104,0.0008741258741258741,0.7939263842414295,0.734375
1,2,SingleCenter,1,0.7435456110154905,0.06512237762237762,0.8171776804418206,0.921875
1,2,KMeans,2,0.7659574468085106,0.057692307692307696,0.8290955532334843,0.928125
1,3,FixedThreshold,1,0.4634920634920635,0.00039077764751856197,0.7010778443113772,0.6578947368421053
1,3,SingleCenter,1,0.7799352750809061,0.05314576006252442,0.820889334208617,0.9123376623376623
1,3,KMeans,2,0.7901639344262295,0.05001953888237593,0.8732208363903154,0.9415584415584415
1,4,FixedThreshold,1,0.5187713310580204,0.00039936102236421724,0.6699140401146132,0.625
1,4,SingleCenter,1,0.7297297297297297,0.06389776357827476,0.7984170570182523,0.9207317073170731
1,4,KMeans,2,0.7619047619047619,0.05391373801916933,0.8044248869331377,0.9237804878048781
