case,n_nodes,n_failures,strategy,repairs,cost,expanded,seconds,oracle_cost,excess_cost,valid
0,8,2,ucs,['n07'],2,2,0.00032321900016540894,2,0,1
0,8,2,cheapest,['n07'],2,2,0.0005612310005744803,2,0,1
1,12,2,ucs,['n11'],2,2,0.0003549800003384007,2,0,1
1,12,2,cheapest,['n11'],2,2,0.00039058200036379276,2,0,1
2,16,2,ucs,['n06'],3,2,0.0006235710006876616,3,0,1
2,16,2,cheapest,['n06'],3,2,0.0005736900002375478,3,0,1
3,8,4,ucs,['n07'],1,2,0.00046028100041439757,1,0,1
3,8,4,cheapest,['n07'],1,2,0.0007224199998745462,1,0,1
4,12,4,ucs,"['n02', 'n11']",14,9,0.004168997000306263,14,0,1
4,12,4,cheapest,"['n02', 'n05', 'n11']",18,4,0.0017824860005930532,14,4,1
5,16,4,ucs,['n15'],7,4,0.0020246789999873727,7,0,1
5,16,4,cheapest,"['n09', 'n12', 'n15']",16,4,0.001687623000179883,7,9,1
6,8,6,ucs,"['n00', 'n05', 'n07']",19,32,0.0082119499993496,19,0,1
6,8,6,cheapest,"['n00', 'n04', 'n05', 'n06', 'n07']",30,6,0.0012072439994881279,19,11,1
7,12,6,ucs,"['n03', 'n11']",10,29,0.01939971499996318,10,0,1
7,12,6,cheapest,"['n00', 'n02', 'n03', 'n04', 'n06', 'n11']",22,7,0.004080816000168852,10,12,1
8,16,6,ucs,[],0,1,0.00046345600003405707,0,0,1
8,16,6,cheapest,[],0,1,0.0004698880002251826,0,0,1
9,8,2,ucs,['n07'],5,2,0.00025258599998778664,5,0,1
9,8,2,cheapest,['n07'],5,2,0.0002022520002356032,5,0,1
10,12,2,ucs,['n11'],1,2,0.00025143299990304513,1,0,1
10,12,2,cheapest,['n11'],1,2,0.0002354119997107773,1,0,1
11,16,2,ucs,[],0,1,0.0002330370007257443,0,0,1
11,16,2,cheapest,[],0,1,0.00021964099960314343,0,0,1
12,8,4,ucs,"['n01', 'n07']",9,8,0.0019763889995374484,9,0,1
12,8,4,cheapest,"['n01', 'n02', 'n05', 'n07']",19,5,0.0008462199994028197,9,10,1
13,12,4,ucs,['n11'],7,5,0.0009409960002813023,7,0,1
13,12,4,cheapest,"['n06', 'n09', 'n11']",13,4,0.0008918359999370296,7,6,1
14,16,4,ucs,"['n00', 'n14']",7,8,0.012606651000169222,7,0,1
14,16,4,cheapest,"['n00', 'n01', 'n02', 'n14']",17,5,0.0037310409998099203,7,10,1
15,8,6,ucs,"['n01', 'n07']",16,23,0.008825601000353345,16,0,1
15,8,6,cheapest,"['n00', 'n01', 'n02', 'n04', 'n05', 'n07']",39,7,0.0020462160000533913,16,23,1
16,12,6,ucs,['n11'],7,6,0.0037277720002748538,7,0,1
16,12,6,cheapest,"['n02', 'n06', 'n08', 'n09', 'n11']",29,6,0.0026511530004427186,7,22,1
17,16,6,ucs,['n15'],1,4,0.0024291160007123835,1,0,1
17,16,6,cheapest,"['n08', 'n09', 'n15']",3,4,0.0021785259996249806,1,2,1
18,8,2,ucs,"['n05', 'n06']",8,4,0.001082071999917389,8,0,1
18,8,2,cheapest,"['n05', 'n06']",8,3,0.0007146809994083014,8,0,1
19,12,2,ucs,[],0,1,0.0003042999996978324,0,0,1
19,12,2,cheapest,[],0,1,0.0002887880000344012,0,0,1
20,16,2,ucs,[],0,1,0.000522256000294874,0,0,1
20,16,2,cheapest,[],0,1,0.0006418170005417778,0,0,1
21,8,4,ucs,['n07'],7,4,0.0008671019995745155,7,0,1
21,8,4,cheapest,"['n04', 'n06', 'n07']",16,4,0.0006799920001867577,7,9,1
22,12,4,ucs,['n08'],5,5,0.005892003999178996,5,0,1
22,12,4,cheapest,"['n05', 'n06', 'n08']",9,4,0.004762358000334643,5,4,1
23,16,4,ucs,[],0,1,0.0019606420000854996,0,0,1
23,16,4,cheapest,[],0,1,0.001831917000345129,0,0,1
24,8,6,ucs,['n07'],7,11,0.003535233999173215,7,0,1
24,8,6,cheapest,"['n01', 'n02', 'n03', 'n05', 'n06', 'n07']",27,7,0.0015516610001213849,7,20,1
25,12,6,ucs,"['n04', 'n05', 'n06', 'n11']",15,40,0.021958140000606363,15,0,1
25,12,6,cheapest,"['n02', 'n04', 'n05', 'n06', 'n08', 'n11']",27,7,0.002664955000000191,15,12,1
26,16,6,ucs,['n03'],7,7,0.008092124999166117,7,0,1
26,16,6,cheapest,"['n01', 'n03', 'n05', 'n07']",16,5,0.006721388999721967,7,9,1
27,8,2,ucs,[],0,1,9.091299943975173e-05,0,0,1
27,8,2,cheapest,[],0,1,0.0001075569998647552,0,0,1
28,12,2,ucs,[],0,1,0.00041075799981626915,0,0,1
28,12,2,cheapest,[],0,1,0.00044364999939716654,0,0,1
29,16,2,ucs,[],0,1,0.00044448900007409975,0,0,1
29,16,2,cheapest,[],0,1,0.00033079500008170726,0,0,1
30,8,4,ucs,"['n05', 'n07']",6,6,0.0010866900001929025,6,0,1
30,8,4,cheapest,"['n02', 'n05', 'n07']",10,4,0.0009822120000535506,6,4,1
31,12,4,ucs,['n02'],3,3,0.0020628749998650164,3,0,1
31,12,4,cheapest,"['n02', 'n09']",5,3,0.0019634899999800837,3,2,1
32,16,4,ucs,"['n04', 'n07']",14,7,0.008974766999926942,14,0,1
32,16,4,cheapest,"['n04', 'n05', 'n07']",21,4,0.003925016000721371,14,7,1
33,8,6,ucs,"['n01', 'n07']",15,22,0.006670626999948581,15,0,1
33,8,6,cheapest,"['n01', 'n03', 'n04', 'n05', 'n06', 'n07']",37,7,0.0013743310000791098,15,22,1
34,12,6,ucs,"['n01', 'n11']",7,23,0.010866194999834988,7,0,1
34,12,6,cheapest,"['n00', 'n01', 'n02', 'n03', 'n06', 'n11']",17,7,0.0021730819998992956,7,10,1
35,16,6,ucs,[],0,1,0.0005391940003391937,0,0,1
35,16,6,cheapest,[],0,1,0.0005178640003578039,0,0,1
36,8,2,ucs,['n05'],2,2,0.00025949900009436533,2,0,1
36,8,2,cheapest,['n05'],2,2,0.0002647139999680803,2,0,1
37,12,2,ucs,[],0,1,0.00022963899937167298,0,0,1
37,12,2,cheapest,[],0,1,0.00018422199991618982,0,0,1
38,16,2,ucs,['n07'],2,2,0.00042161200053669745,2,0,1
38,16,2,cheapest,['n07'],2,2,0.0003857589999824995,2,0,1
39,8,4,ucs,[],0,1,0.0001859579997471883,0,0,1
39,8,4,cheapest,[],0,1,0.00019449499995971564,0,0,1
40,12,4,ucs,"['n01', 'n06']",6,6,0.0027870549993167515,6,0,1
40,12,4,cheapest,"['n01', 'n02', 'n06']",9,4,0.0015419549999933224,6,3,1
41,16,4,ucs,['n15'],8,6,0.0020629620003091986,8,0,1
41,16,4,cheapest,"['n08', 'n12', 'n14', 'n15']",20,5,0.0013537579998228466,8,12,1
42,8,6,ucs,"['n02', 'n07']",5,10,0.0032570220000707195,5,0,1
42,8,6,cheapest,"['n02', 'n03', 'n04', 'n06', 'n07']",14,6,0.0017211650001627277,5,9,1
43,12,6,ucs,['n10'],2,3,0.0014067390002310276,2,0,1
43,12,6,cheapest,"['n00', 'n10']",4,3,0.0013063429996691411,2,2,1
44,16,6,ucs,['n02'],5,3,0.004261469000084617,5,0,1
44,16,6,cheapest,"['n02', 'n07']",7,3,0.004094359000191616,5,2,1
45,8,2,ucs,['n01'],8,3,0.0005214220000198111,8,0,1
45,8,2,cheapest,"['n01', 'n02']",10,3,0.00041279600009147543,8,2,1
46,12,2,ucs,['n11'],2,2,0.0003818060004050494,2,0,1
46,12,2,cheapest,['n11'],2,2,0.00039446600021619815,2,0,1
47,16,2,ucs,[],0,1,0.00019748199974856107,0,0,1
47,16,2,cheapest,[],0,1,0.00017512999966129428,0,0,1
48,8,4,ucs,['n02'],1,2,0.0007535519998782547,1,0,1
48,8,4,cheapest,['n02'],1,2,0.0007106709999789018,1,0,1
49,12,4,ucs,['n04'],9,5,0.0017904070000440697,9,0,1
49,12,4,cheapest,"['n01', 'n04', 'n06']",17,4,0.0015819669997654273,9,8,1
50,16,4,ucs,[],0,1,0.0006285680001383298,0,0,1
50,16,4,cheapest,[],0,1,0.0004528070003289031,0,0,1
51,8,6,ucs,['n00'],5,4,0.0017119539998020628,5,0,1
51,8,6,cheapest,"['n00', 'n01', 'n05']",11,4,0.001159774999905494,5,6,1
52,12,6,ucs,[],0,1,0.00020676500025729183,0,0,1
52,12,6,cheapest,[],0,1,0.00019619900012912694,0,0,1
53,16,6,ucs,['n15'],8,8,0.004164857000432676,8,0,1
53,16,6,cheapest,"['n00', 'n05', 'n07', 'n13', 'n15']",26,6,0.001855481000347936,8,18,1
54,8,2,ucs,[],0,1,0.00011325000014039688,0,0,1
54,8,2,cheapest,[],0,1,0.00012325500028964598,0,0,1
55,12,2,ucs,"['n01', 'n03']",8,4,0.001358718000119552,8,0,1
55,12,2,cheapest,"['n01', 'n03']",8,3,0.0010355849999541533,8,0,1
56,16,2,ucs,[],0,1,0.000211144999411772,0,0,1
56,16,2,cheapest,[],0,1,0.0002154000003429246,0,0,1
57,8,4,ucs,"['n01', 'n07']",11,9,0.0015739979999125353,11,0,1
57,8,4,cheapest,"['n00', 'n01', 'n05', 'n07']",22,5,0.0006597569999939878,11,11,1
58,12,4,ucs,['n11'],7,7,0.0025809400003709015,7,0,1
58,12,4,cheapest,"['n00', 'n01', 'n05', 'n11']",18,5,0.0013389750001806533,7,11,1
59,16,4,ucs,['n15'],8,7,0.0012835359993914608,8,0,1
59,16,4,cheapest,"['n05', 'n12', 'n14', 'n15']",20,5,0.0007560389994978323,8,12,1
