repeat,fold,k,silhouette
0,0,2,0.7986236178127651
0,0,3,0.59329410646895
0,0,4,0.3389260929785221
0,0,5,0.31676004975214506
0,0,6,0.2674156219288582
0,0,7,0.2675416498369648
0,1,2,0.7962245346159392
0,1,3,0.5412714920026245
0,1,4,0.3495742793410595
0,1,5,0.293635940684828
0,1,6,0.248807124802423
0,1,7,0.2500736029164847
0,2,2,0.7915152022271719
0,2,3,0.5192996258977278
0,2,4,0.3610013831286849
0,2,5,0.2955198267327643
0,2,6,0.3001182413911289
0,2,7,0.2579719041396883
0,3,2,0.7909208772944254
0,3,3,0.5577843586762427
0,3,4,0.35794954065481877
0,3,5,0.3076494230248528
0,3,6,0.26739554123019393
0,3,7,0.2659366820407316
0,4,2,0.8007592006303855
0,4,3,0.5340453927944092
0,4,4,0.36108126772487026
0,4,5,0.30716478532302355
0,4,6,0.2454492768482499
0,4,7,0.2532439775478759
1,0,2,0.8020781798445232
1,0,3,0.5863721143860284
1,0,4,0.3540507669727259
1,0,5,0.3125225843270958
1,0,6,0.2554857121091522
1,0,7,0.2643055826534817
1,1,2,0.7934690434089464
1,1,3,0.5652996787632995
1,1,4,0.3514445588875107
1,1,5,0.29539900789610846
1,1,6,0.2609689174288027
1,1,7,0.2527721787552092
1,2,2,0.7936206876453643
1,2,3,0.5403049671776649
1,2,4,0.3396374808266558
1,2,5,0.3027598982913788
1,2,6,0.25001675508464477
1,2,7,0.24867768277484406
1,3,2,0.7978173090610987
1,3,3,0.5583374910943258
1,3,4,0.3370115396139687
1,3,5,0.2908669240965384
1,3,6,0.2599545364560038
1,3,7,0.2628901786258506
1,4,2,0.7975038995933804
1,4,3,0.5567402897146139
1,4,4,0.3654951580104256
1,4,5,0.3214857438508221
1,4,6,0.2768804602864463
1,4,7,0.27642636902043966
