repeat,fold,f1_macro,balanced_accuracy,average_precision,brier,edges,best_params
0,0,0.4814814814814815,0.4902805261319986,0.6488586466311508,0.24817798093358281,4,"{""alpha"": 0.5, ""max_parents"": 1}"
0,1,0.6371965185524507,0.6359693026359693,0.663978448296004,0.22973601506510208,6,"{""alpha"": 0.5, ""max_parents"": 2}"
0,2,0.5515151515151515,0.562394127611519,0.6616267309534017,0.23945316889203375,7,"{""alpha"": 0.5, ""max_parents"": 2}"
0,3,0.5971512160524838,0.6024649054935338,0.6646642700207259,0.22941146284921163,7,"{""alpha"": 0.5, ""max_parents"": 2}"
0,4,0.6190476190476191,0.6196078431372549,0.7547308570925588,0.22709337898524096,7,"{""alpha"": 0.5, ""max_parents"": 2}"
1,0,0.4818791167338885,0.4848178137651822,0.5994673220385127,0.26723015688366414,7,"{""alpha"": 0.5, ""max_parents"": 2}"
1,1,0.5851735458346194,0.586331724440544,0.6865863947554962,0.23209537286622728,6,"{""alpha"": 0.5, ""max_parents"": 2}"
1,2,0.6287371709058456,0.6268148820326679,0.6968027024560383,0.22339574401556003,6,"{""alpha"": 0.5, ""max_parents"": 2}"
1,3,0.6082180293501048,0.6090311986863711,0.6285293049493874,0.23986773161641683,6,"{""alpha"": 0.5, ""max_parents"": 2}"
1,4,0.5884304801057113,0.5875213675213675,0.6775480856914295,0.23182206032588168,6,"{""alpha"": 0.5, ""max_parents"": 2}"
