model,feature_set,n_folds,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,brier_mean,brier_std
DummyPrior,-,10,0.36736291829977097,0.012623626331463213,0.5,0.0,0.58125,0.031461475805761925,0.2438995361328125,0.005203718109757951
GradientBoosting,BASE,10,0.550524066615983,0.04032090401747164,0.5617584842813549,0.03971690127932947,0.6973987241236335,0.031984930592535155,0.2317472913786704,0.00635362311559471
GradientBoosting,BASE+KB,10,0.6461287200069923,0.04124992567318725,0.6472801522978285,0.038830164392503114,0.7576758972928268,0.04065670468685137,0.2127756998713471,0.011005828364060498
GradientBoosting,BASE+LOCAL,10,0.5914973353653716,0.05027421397904387,0.5949120450375499,0.050195959736292144,0.703457097031875,0.027637497111739226,0.229655007632427,0.009471229112318354
LogicOnly,-,10,0.6549673894727632,0.03750097472763824,0.6563781876059939,0.03891378838252667,0.676085275084625,0.03438052853897108,0.3354166666666666,0.03286710990610898
LogisticRegression,BASE,10,0.5799603956560916,0.04407501996549371,0.5845316361446871,0.04398445933653551,0.7170376985366916,0.03239433613191505,0.23302349259498487,0.009755533955528268
LogisticRegression,BASE+KB,10,0.6652748076886703,0.031603359280069174,0.6685879288565999,0.03450927764156273,0.7769191406816747,0.03723309602090801,0.21038877955753205,0.010629761891763912
LogisticRegression,BASE+LOCAL,10,0.6137687558128996,0.04940512555047992,0.6162671299847107,0.04882709686268249,0.7371090056321863,0.02723274894554,0.22676133526785294,0.01305350242118295
RandomForest,BASE,10,0.5549403420837677,0.03561632111182068,0.5647624704861964,0.037052977110677225,0.7018552654675466,0.02095723011566377,0.23244411671779036,0.0053665917441819205
RandomForest,BASE+KB,10,0.6582842366424647,0.038742649829981816,0.6575151228284728,0.038323212131439084,0.7591718382356559,0.04624725052810406,0.21304573124559784,0.01254027250564692
RandomForest,BASE+LOCAL,10,0.6004203860688253,0.05454224542784772,0.6016200624030503,0.054639958661895055,0.7155800308295456,0.022857104257442185,0.2290692520748972,0.011567936022579139
