repeat,fold,model,feature,f1_decrease
0,0,LogisticRegression,root_cpu,-0.009182743393246836
0,0,LogisticRegression,root_errors,-0.03326029360153485
0,0,LogisticRegression,root_latency,0.0
0,0,LogisticRegression,n_nodes,0.010986961418491722
0,0,LogisticRegression,n_requires,0.0029492332513694577
0,0,LogisticRegression,n_replicas,-0.0024831616022366423
0,0,LogisticRegression,mean_cpu,0.0041138823843663115
0,0,LogisticRegression,max_cpu,-0.004702468690795862
0,0,LogisticRegression,mean_errors,-0.012245408257163323
0,0,LogisticRegression,max_errors,0.0
0,0,LogisticRegression,alarm_fraction,-0.006232405601407365
0,0,LogisticRegression,root_down,-0.003239935611596264
0,0,LogisticRegression,down_fraction,0.0015106694701843004
0,0,LogisticRegression,reachable_fraction,0.024460609293203706
0,0,LogisticRegression,exposed_fraction,0.007396197185173851
0,0,LogisticRegression,reachable_down_fraction,0.005051664478223065
0,0,LogisticRegression,degraded_fraction,0.006574873337646429
0,0,RandomForest,root_cpu,0.0073861568331772265
0,0,RandomForest,root_errors,0.005823380292378277
0,0,RandomForest,root_latency,-0.005969203734465338
0,0,RandomForest,n_nodes,-0.0009048677610579148
0,0,RandomForest,n_requires,0.01321190055479556
0,0,RandomForest,n_replicas,-0.0029953621434480513
0,0,RandomForest,mean_cpu,0.01135549222565239
0,0,RandomForest,max_cpu,0.007400486871293614
0,0,RandomForest,mean_errors,0.016152958276333784
0,0,RandomForest,max_errors,-0.002376586631259873
0,0,RandomForest,alarm_fraction,0.01226178940568475
0,0,RandomForest,root_down,0.008287111903801936
0,0,RandomForest,down_fraction,0.0019016915151485552
0,0,RandomForest,reachable_fraction,0.03427605726169566
0,0,RandomForest,exposed_fraction,0.00149315055479556
0,0,RandomForest,reachable_down_fraction,0.033013042651151535
0,0,RandomForest,degraded_fraction,0.0015082316841465253
0,0,GradientBoosting,root_cpu,-0.01718447983529899
0,0,GradientBoosting,root_errors,-0.024525910925714395
0,0,GradientBoosting,root_latency,0.00138739699124187
0,0,GradientBoosting,n_nodes,0.0
0,0,GradientBoosting,n_requires,-0.006788036897589889
0,0,GradientBoosting,n_replicas,-0.016046969222424916
0,0,GradientBoosting,mean_cpu,-0.005381189195800884
0,0,GradientBoosting,max_cpu,0.001646043007519582
0,0,GradientBoosting,mean_errors,0.006852785571626126
0,0,GradientBoosting,max_errors,-0.001391954713298375
0,0,GradientBoosting,alarm_fraction,-0.001391954713298375
0,0,GradientBoosting,root_down,0.002966062617394516
0,0,GradientBoosting,down_fraction,-0.008194884599378893
0,0,GradientBoosting,reachable_fraction,0.000419751428261117
0,0,GradientBoosting,exposed_fraction,0.0
0,0,GradientBoosting,reachable_down_fraction,-0.0055402521781705944
