repeat,fold,model,fraction,n_train,train_f1,test_f1
0,0,LogisticRegression,0.4,304,0.6906689759688245,0.6234498989228494
0,0,RandomForest,0.4,304,0.8221760041596257,0.6630075858991522
0,0,GradientBoosting,0.4,304,0.7859966426598798,0.6333333333333333
0,0,LogisticRegression,0.7,536,0.6843840045713171,0.6287371709058456
0,0,RandomForest,0.7,536,0.7710913538067321,0.6319643025484712
0,0,GradientBoosting,0.7,536,0.7633102649158692,0.63671875
0,0,LogisticRegression,1.0,768,0.6895741912157218,0.6287981532246429
0,0,RandomForest,1.0,768,0.7423701427003293,0.6484375
0,0,GradientBoosting,1.0,768,0.7353123635778783,0.5882070488812062
0,1,LogisticRegression,0.4,304,0.6897016027450811,0.6803406206501269
0,1,RandomForest,0.4,304,0.7894078212290503,0.6713712505962569
0,1,GradientBoosting,0.4,304,0.778393351800554,0.6678571428571429
0,1,LogisticRegression,0.7,536,0.6722887502108281,0.6896693422458429
0,1,RandomForest,0.7,536,0.735585500376474,0.6605965375010522
0,1,GradientBoosting,0.7,536,0.7579774232670958,0.6592196083955486
0,1,LogisticRegression,1.0,768,0.6884349339865354,0.6643356643356644
0,1,RandomForest,1.0,768,0.7355895558730821,0.6653171390013495
0,1,GradientBoosting,1.0,768,0.7317576799529475,0.6700380335258487
0,2,LogisticRegression,0.4,304,0.7261172077675383,0.64041928721174
0,2,RandomForest,0.4,304,0.8171778470285933,0.6016257851803428
0,2,GradientBoosting,0.4,304,0.7972336121589854,0.6016257851803428
0,2,LogisticRegression,0.7,536,0.6839443023586246,0.6156156156156156
0,2,RandomForest,0.7,536,0.761796779744066,0.6058902275769745
0,2,GradientBoosting,0.7,536,0.7408232342269282,0.608937528499772
0,2,LogisticRegression,1.0,768,0.6834928511943746,0.6286061677904278
0,2,RandomForest,1.0,768,0.7401650538577221,0.6287981532246429
0,2,GradientBoosting,1.0,768,0.7398701549734618,0.6290398126463701
0,3,LogisticRegression,0.4,304,0.6919959473150963,0.6703638097833492
0,3,RandomForest,0.4,304,0.8104114932362713,0.6251591545709193
0,3,GradientBoosting,0.4,304,0.7964912280701755,0.6044453471839364
0,3,LogisticRegression,0.7,536,0.6849698113879636,0.6293940135388632
0,3,RandomForest,0.7,536,0.7524721867068679,0.6065573770491803
0,3,GradientBoosting,0.7,536,0.7286180841401433,0.6015180265654649
0,3,LogisticRegression,1.0,768,0.6823273930578057,0.6561007381676074
0,3,RandomForest,1.0,768,0.7342173327019053,0.6761133603238867
0,3,GradientBoosting,1.0,768,0.7313804483154192,0.6608547008547009
0,4,LogisticRegression,0.4,304,0.711600405948021,0.6770833333333334
0,4,RandomForest,0.4,304,0.776962582538518,0.6726205450733753
0,4,GradientBoosting,0.4,304,0.775438596491228,0.7010343677010344
0,4,LogisticRegression,0.7,536,0.6624910736585864,0.6926999972872527
0,4,RandomForest,0.7,536,0.7326485747538378,0.6833542976939203
0,4,GradientBoosting,0.7,536,0.7426340762585304,0.6865089248650893
0,4,LogisticRegression,1.0,768,0.6727252024160533,0.6822830480427529
0,4,RandomForest,1.0,768,0.7325827699271683,0.6833542976939203
0,4,GradientBoosting,1.0,768,0.7337562234925319,0.6785714285714286
1,0,LogisticRegression,0.4,304,0.6971586971586972,0.6310057655349135
1,0,RandomForest,0.4,304,0.8119118173825263,0.573394892511903
1,0,GradientBoosting,0.4,304,0.7958317084795702,0.5897435897435896
1,0,LogisticRegression,0.7,536,0.7016123102778216,0.6484011832652486
1,0,RandomForest,0.7,536,0.7637116284070748,0.5728337236533958
1,0,GradientBoosting,0.7,536,0.7755275167785235,0.6075036075036075
1,0,LogisticRegression,1.0,768,0.6901341028919996,0.6357142857142857
1,0,RandomForest,1.0,768,0.7475101046239533,0.5613275613275613
1,0,GradientBoosting,1.0,768,0.7416925445113758,0.6015625
1,1,LogisticRegression,0.4,304,0.6686287333769348,0.696301952656267
1,1,RandomForest,0.4,304,0.7831795807172004,0.7016231149994244
1,1,GradientBoosting,0.4,304,0.7702191987906274,0.6935844238748803
1,1,LogisticRegression,0.7,536,0.688197364732268,0.6952380952380952
1,1,RandomForest,0.7,536,0.7492537313432835,0.6903488668194551
1,1,GradientBoosting,0.7,536,0.7402757587771465,0.6964426877470355
1,1,LogisticRegression,1.0,768,0.6816116764312878,0.6912930917018667
1,1,RandomForest,1.0,768,0.729957805907173,0.6808564586561487
1,1,GradientBoosting,1.0,768,0.7261982536307289,0.6842105263157895
1,2,LogisticRegression,0.4,304,0.6837265496526497,0.6735410267661255
1,2,RandomForest,0.4,304,0.7868589743589745,0.6206110351117191
1,2,GradientBoosting,0.4,304,0.7333746066140432,0.6085128074423347
1,2,LogisticRegression,0.7,536,0.6636963510236309,0.6768122740693727
1,2,RandomForest,0.7,536,0.7489197929899905,0.6601572701157763
1,2,GradientBoosting,0.7,536,0.7501657906603962,0.649346058677978
1,2,LogisticRegression,1.0,768,0.6782396205088042,0.708601230718287
1,2,RandomForest,1.0,768,0.7232472126256986,0.6712996547021444
1,2,GradientBoosting,1.0,768,0.7330562224531479,0.6889406815791718
1,3,LogisticRegression,0.4,304,0.7074044982354438,0.6062884483937115
1,3,RandomForest,0.4,304,0.7860609590370802,0.5758805970149253
1,3,GradientBoosting,0.4,304,0.733573717948718,0.574750830564784
1,3,LogisticRegression,0.7,536,0.6811512636472118,0.6433566433566433
1,3,RandomForest,0.7,536,0.7300121889791633,0.649346058677978
1,3,GradientBoosting,0.7,536,0.7055530231307783,0.5515151515151515
1,3,LogisticRegression,1.0,768,0.6886251925820749,0.6637110016420361
1,3,RandomForest,1.0,768,0.7347761022217106,0.6353171405548521
1,3,GradientBoosting,1.0,768,0.7137825454704889,0.621731343283582
1,4,LogisticRegression,0.4,304,0.6888501742160278,0.6026380418885731
1,4,RandomForest,0.4,304,0.8004201680672269,0.6262929596262929
1,4,GradientBoosting,0.4,304,0.7798068481123792,0.5708343943638061
1,4,LogisticRegression,0.7,536,0.660696611372833,0.6565295169946332
1,4,RandomForest,0.7,536,0.7483432790351773,0.6088930275870097
