repeat,fold,method,k,local_f1,local_false_alarm_rate,critical_f1_macro,critical_balanced_accuracy
0,0,FixedThreshold,1,0.5431654676258992,0.00065359477124183,0.6814863968148639,0.685448638960457
0,0,SingleCenter,1,0.7730769230769231,0.0514161220043573,0.8229166666666666,0.8495575221238938
0,0,KMeans,2,0.7984111221449851,0.04422657952069717,0.8591878310471275,0.8805309734513274
0,1,FixedThreshold,1,0.554561717352415,0.000449842555105713,0.6858545292280231,0.7105263157894737
0,1,SingleCenter,1,0.7642585551330798,0.05578047683310841,0.8403547671840355,0.845360824742268
0,1,KMeans,2,0.7382920110192838,0.0641025641025641,0.8347722288537879,0.8402061855670103
0,2,FixedThreshold,1,0.5474060822898033,0.0004299226139294927,0.6703296703296704,0.6733212341197823
0,2,SingleCenter,1,0.7746883988494727,0.05051590713671539,0.8587273470500068,0.8836206896551724
0,2,KMeans,2,0.7433302667893285,0.05997420464316423,0.8484609313338595,0.875
0,3,FixedThreshold,1,0.4858757062146893,0.0006647462884998893,0.7260187093705407,0.7238905572238905
0,3,SingleCenter,1,0.7607244995233555,0.055617106137824064,0.854150841020076,0.8738738738738738
0,3,KMeans,2,0.7228260869565217,0.0678041214269887,0.742267758814344,0.7792792792792793
0,4,FixedThreshold,1,0.47104247104247104,0.001303780964797914,0.671052206238888,0.6821598319885045
0,4,SingleCenter,1,0.7337723424270931,0.06149500217296827,0.8226086956521739,0.8440366972477065
0,4,KMeans,2,0.7276119402985075,0.06345067362016514,0.8013071895424837,0.8256880733944953
1,0,FixedThreshold,1,0.5243445692883895,0.00043402777777777775,0.6882257422102392,0.7055555555555555
1,0,SingleCenter,1,0.7596899224806202,0.05381944444444445,0.8205607476635515,0.8333333333333333
1,0,KMeans,2,0.7708947885939036,0.05056423611111111,0.8369449086376463,0.8480392156862745
1,1,FixedThreshold,1,0.5581395348837209,0.0006421232876712328,0.666501240694789,0.6835664335664335
1,1,SingleCenter,1,0.7984031936127745,0.04323630136986301,0.8747826086956522,0.8846153846153846
1,1,KMeans,2,0.7582938388625592,0.0545804794520548,0.8321678321678322,0.8461538461538461
1,2,FixedThreshold,1,0.4680073126142596,0.0008926578888640928,0.7212121212121212,0.7210643015521064
1,2,SingleCenter,1,0.7950191570881227,0.04775719705422897,0.8801270392790249,0.8954545454545455
1,2,KMeans,2,0.772093023255814,0.05467529569292569,0.8174657069129432,0.8409090909090908
1,3,FixedThreshold,1,0.5451197053406999,0.0009088843444671666,0.652636968766001,0.6645569620253164
1,3,SingleCenter,1,0.7812187812187812,0.04976141785957737,0.8281203374657515,0.8539823008849557
1,3,KMeans,2,0.768172888015717,0.053624176323562825,0.8177033882212517,0.8451327433628318
1,4,FixedThreshold,1,0.5111111111111111,0.0006464124111182935,0.7084921893451196,0.7023931623931624
1,4,SingleCenter,1,0.7607244995233555,0.054083171730230556,0.8328799912958329,0.8632478632478633
1,4,KMeans,2,0.7478912839737581,0.05796164619694032,0.8533871495581978,0.8803418803418803
