case,n_nodes,n_failures,strategy,repairs,cost,expanded,seconds,oracle_cost,excess_cost,valid
0,8,2,ucs,['n07'],7,3,0.0003891690003001713,7,0,1
0,8,2,cheapest,"['n05', 'n07']",8,3,0.00037561299996013986,7,1,1
1,12,2,ucs,"['n01', 'n10']",15,4,0.0010312410004189587,15,0,1
1,12,2,cheapest,"['n01', 'n10']",15,3,0.0006510330003948184,15,0,1
2,16,2,ucs,[],0,1,0.00018117999934474938,0,0,1
2,16,2,cheapest,[],0,1,0.00016083099944808055,0,0,1
3,8,4,ucs,['n07'],3,3,0.0009190760001729359,3,0,1
3,8,4,cheapest,"['n01', 'n07']",6,3,0.000623689000349259,3,3,1
4,12,4,ucs,[],0,1,0.00052071999925829,0,0,1
4,12,4,cheapest,[],0,1,0.00042285600011382485,0,0,1
5,16,4,ucs,['n13'],6,6,0.0029823929999110987,6,0,1
5,16,4,cheapest,"['n04', 'n08', 'n12', 'n13']",16,5,0.0017834139998740284,6,10,1
6,8,6,ucs,['n07'],9,25,0.005056232999777421,9,0,1
6,8,6,cheapest,"['n00', 'n02', 'n03', 'n04', 'n06', 'n07']",22,7,0.0011041129992008791,9,13,1
7,12,6,ucs,['n11'],9,12,0.003930280999156821,9,0,1
7,12,6,cheapest,"['n01', 'n04', 'n06', 'n07', 'n08', 'n11']",33,7,0.0017867360002128407,9,24,1
8,16,6,ucs,['n15'],4,4,0.0019653219997053384,4,0,1
8,16,6,cheapest,"['n09', 'n12', 'n15']",9,4,0.002087152999592945,4,5,1
9,8,2,ucs,['n07'],2,2,0.000555229000383406,2,0,1
9,8,2,cheapest,['n07'],2,2,0.00030131099993013777,2,0,1
10,12,2,ucs,[],0,1,0.00018364999959885608,0,0,1
10,12,2,cheapest,[],0,1,0.00016995700025290716,0,0,1
11,16,2,ucs,[],0,1,0.00026188999981968664,0,0,1
11,16,2,cheapest,[],0,1,0.00017520999972475693,0,0,1
12,8,4,ucs,"['n01', 'n07']",8,6,0.0012279579996175016,8,0,1
12,8,4,cheapest,"['n00', 'n01', 'n07']",13,4,0.0006187500002852175,8,5,1
13,12,4,ucs,['n11'],3,3,0.0006698810002490063,3,0,1
13,12,4,cheapest,"['n02', 'n11']",5,3,0.0006517880001410958,3,2,1
14,16,4,ucs,[],0,1,0.000456224999652477,0,0,1
14,16,4,cheapest,[],0,1,0.0004361689998404472,0,0,1
15,8,6,ucs,"['n01', 'n06', 'n07']",12,24,0.006947292999939236,12,0,1
15,8,6,cheapest,"['n00', 'n01', 'n02', 'n05', 'n06', 'n07']",29,7,0.0019438489998719888,12,17,1
16,12,6,ucs,[],0,1,0.00045888299973739777,0,0,1
16,12,6,cheapest,[],0,1,0.0004779430000780849,0,0,1
17,16,6,ucs,"['n02', 'n15']",10,14,0.016968652999821643,10,0,1
17,16,6,cheapest,"['n02', 'n03', 'n13', 'n15']",17,5,0.005743178999182419,10,7,1
18,8,2,ucs,[],0,1,0.00017829000080382684,0,0,1
18,8,2,cheapest,[],0,1,0.00016027000037865946,0,0,1
19,12,2,ucs,['n11'],4,3,0.0004754669998874306,4,0,1
19,12,2,cheapest,"['n04', 'n11']",5,3,0.00043976000051770825,4,1,1
20,16,2,ucs,"['n05', 'n08']",10,4,0.0013389139994615107,10,0,1
20,16,2,cheapest,"['n05', 'n08']",10,3,0.0009692550002000644,10,0,1
21,8,4,ucs,['n00'],3,3,0.000619192000158364,3,0,1
21,8,4,cheapest,"['n00', 'n05']",4,3,0.0006299779997789301,3,1,1
22,12,4,ucs,['n01'],5,4,0.0015970160002325429,5,0,1
22,12,4,cheapest,"['n01', 'n06', 'n07']",12,4,0.0014276290003181202,5,7,1
23,16,4,ucs,['n15'],7,9,0.002611853000416886,7,0,1
23,16,4,cheapest,"['n08', 'n10', 'n14', 'n15']",14,5,0.0011927360001209308,7,7,1
