sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
0,23,37,220,6,20013,0.026331942999604507,20,1
1,23,38,225,7,24668,0.03247496699987096,18,1
2,23,36,171,6,16346,0.02342493200012541,2,1
3,23,37,212,6,19628,0.027305098999931943,19,1
4,23,43,237,7,28147,0.03817343500031711,20,1
5,23,36,177,6,16838,0.022319280999909097,5,1
6,23,37,173,6,16981,0.02263066599971353,3,1
7,23,39,192,6,19071,0.02524264600015158,10,1
8,27,48,260,7,35013,0.0459722290006539,21,1
9,27,42,219,6,22913,0.028860940000413393,10,1
10,27,43,238,7,31110,0.04064131799987081,19,1
11,27,40,201,6,21285,0.02977686900067056,7,1
12,27,41,234,7,29832,0.038488825999593246,19,1
13,27,48,267,6,27801,0.03720709400022315,18,1
14,27,46,260,6,26979,0.03862923399992724,19,1
15,27,39,190,6,19745,0.02501307399961661,2,1
16,20,30,203,6,16469,0.021678569999494357,16,1
17,20,32,212,7,21267,0.029989108000336273,11,1
18,20,27,165,6,12750,0.018692379000640358,0,1
19,20,28,168,6,13352,0.018139075999897614,1,1
20,20,34,222,6,18429,0.02414335400044365,17,1
21,20,31,211,6,17066,0.02250734100016416,16,1
22,20,28,167,6,13352,0.01985276600044017,1,1
23,20,28,167,6,13352,0.01829433999955654,1,1
24,22,35,177,5,13042,0.018803467999532586,8,1
25,22,37,171,4,9894,0.013004852000449318,10,1
26,22,33,194,6,17157,0.023439239999788697,19,1
27,22,34,159,4,8589,0.012908804999824497,5,1
28,22,33,160,4,7998,0.01175532699926407,2,1
29,22,34,200,5,13354,0.01975365500038606,12,1
30,22,32,156,4,7893,0.012501488999987487,3,1
31,22,35,197,6,18347,0.02476780699998926,20,1
32,30,48,350,6,45809,0.0584909900007915,17,1
33,30,55,391,7,67434,0.09573087700027827,20,1
34,30,47,310,6,41673,0.0523816570002964,1,1
35,30,47,319,6,42401,0.05398953599978995,4,1
36,30,56,419,6,54819,0.07159846600006858,21,1
37,30,47,365,7,58137,0.07444487800057686,26,1
38,30,48,373,7,60078,0.07916946099976485,27,1
39,30,47,316,6,41953,0.05842618600036076,2,1
40,23,37,295,6,24661,0.03585471000042162,21,1
41,23,37,245,7,29803,0.03905192199999874,19,1
42,23,33,196,6,18583,0.025201942999956373,0,1
43,23,34,198,6,19312,0.026127023000299232,1,1
44,23,38,247,6,24294,0.032157951000044704,17,1
45,23,34,240,7,27508,0.0373168819996863,19,1
46,23,39,255,6,25315,0.03677494099974865,19,1
47,23,35,202,6,20041,0.027298117999634997,2,1
48,22,32,179,7,18368,0.025689022999358713,6,1
49,22,31,164,6,13887,0.019587038999816286,3,1
50,22,31,180,6,14931,0.020166297999821836,11,1
51,22,31,165,6,14175,0.01960799200060137,5,1
52,22,32,174,6,15052,0.020427356000254804,8,1
53,22,32,161,6,14296,0.019709195000359614,3,1
54,22,30,155,6,12938,0.01775992300008511,0,1
55,22,31,159,6,13527,0.017943838999599393,1,1
56,20,32,183,6,14439,0.01974874300049123,8,1
57,20,35,205,6,17026,0.025239351999516657,17,1
58,20,40,251,7,24831,0.033450570999775664,19,1
59,20,40,248,7,24841,0.033090418000028876,19,1
60,20,36,212,6,17680,0.02442234800037113,16,1
61,20,30,162,6,12667,0.018459662000168464,0,1
62,20,33,175,6,14893,0.01982450599916774,6,1
63,20,33,177,6,14989,0.019348255999830144,7,1
64,29,46,271,6,31920,0.04261217399925954,25,1
65,29,45,222,5,20843,0.02719141400029912,5,1
66,29,44,216,5,19843,0.047047330000168586,2,1
67,29,44,220,5,20200,0.03415492600015568,4,1
68,29,47,255,6,30962,0.046792355999969004,16,1
69,29,49,259,6,32608,0.041669842999908724,17,1
70,29,49,229,5,23092,0.029749379000350018,7,1
71,29,45,222,5,20894,0.02825365100034105,5,1
72,27,42,206,6,20476,0.02730242500001623,5,1
73,27,41,196,6,19046,0.028452970999751415,0,1
74,27,44,239,6,23705,0.030953010999837716,18,1
75,27,48,268,6,26883,0.03468736199920386,24,1
76,27,44,211,6,21860,0.03428427900053066,7,1
77,27,42,217,6,21296,0.02795350199994573,10,1
78,27,46,239,6,24802,0.03297354899950733,20,1
79,27,51,287,7,35938,0.05138715300017793,26,1
80,25,43,245,5,19833,0.025930838999556727,22,1
81,25,44,206,5,18049,0.02502001900029427,5,1
82,25,42,204,5,16979,0.0244308089995684,4,1
83,25,46,258,6,27784,0.03714156800015189,20,1
84,25,44,214,5,18532,0.026112400999409147,8,1
85,25,45,238,6,26430,0.03614674499931425,18,1
86,25,47,260,5,21878,0.029208350999397226,22,1
87,25,42,218,5,17744,0.025448112999583827,10,1
88,30,46,323,7,44626,0.062464753999847744,30,1
89,30,39,211,6,24318,0.03342657800021698,0,1
90,30,41,219,6,26449,0.03601744199932,4,1
91,30,40,215,6,25410,0.036225535000085074,2,1
92,30,44,228,6,28969,0.042438958999809984,7,1
93,30,46,258,6,31715,0.04526737000014691,13,1
94,30,47,304,7,45406,0.06077767999977368,29,1
95,30,45,275,6,32126,0.0440904449997106,17,1
96,29,52,340,6,43035,0.0576576080002269,26,1
97,29,46,307,6,37201,0.04952650699942751,26,1
98,29,49,314,7,48318,0.06445315299970389,21,1
99,29,50,279,7,45131,0.05965431999993598,6,1
100,29,53,275,6,39065,0.051768805000392604,10,1
101,29,47,295,6,36352,0.04887950399916008,19,1
102,29,46,251,6,31947,0.04670615699978953,1,1
103,29,52,368,7,53784,0.07402420600010373,28,1
104,24,43,257,7,33346,0.04610874100035289,14,1
105,24,44,253,7,34335,0.04767501400056062,15,1
106,24,40,217,7,28131,0.03852530600033788,1,1
107,24,41,226,7,29691,0.03993735600033688,5,1
108,24,43,260,7,34182,0.04683726100029162,18,1
109,24,42,253,7,32769,0.043706246999136056,15,1
110,24,40,244,7,30783,0.04208871300033934,13,1
111,24,44,278,8,42012,0.057119463000162796,18,1
112,23,32,154,6,12193,0.01707779099979234,7,1
113,23,35,151,6,13181,0.018284056000084092,6,1
114,23,39,193,6,16067,0.02281634400060284,15,1
115,23,31,148,6,11585,0.016351237999515433,5,1
116,23,38,224,7,20472,0.029338121999899158,21,1
