repeat,fold,k,silhouette
0,0,2,0.7982738934191458
0,0,3,0.5216506560139684
0,0,4,0.3552641162243678
0,0,5,0.31957481616790956
0,0,6,0.26730346598797877
0,0,7,0.25614166936650473
0,1,2,0.7991102015291328
0,1,3,0.5642690514692865
0,1,4,0.3396401028724407
0,1,5,0.29322501447964133
0,1,6,0.25327755459814244
0,1,7,0.24959769360874084
0,2,2,0.789944221182239
0,2,3,0.5451981419640463
0,2,4,0.3744036341812814
0,2,5,0.3377264361720864
0,2,6,0.28078109949712626
0,2,7,0.2747252171858937
0,3,2,0.7968666814829483
0,3,3,0.5812248314119924
0,3,4,0.368110326532191
0,3,5,0.3172601026024732
0,3,6,0.2765159231827413
0,3,7,0.2773783290343011
0,4,2,0.8006972882592919
0,4,3,0.5683450231453834
0,4,4,0.3427045823325403
0,4,5,0.32286828027817405
0,4,6,0.2804722438979542
0,4,7,0.2642655821757461
1,0,2,0.7859677648903355
1,0,3,0.5515211203582373
1,0,4,0.34711531337603396
1,0,5,0.31917989762754234
1,0,6,0.2729065456698271
1,0,7,0.2580514702923276
1,1,2,0.8037267476370006
1,1,3,0.5644486841569795
1,1,4,0.3516418283033629
1,1,5,0.29632688310479177
1,1,6,0.2649170436938131
1,1,7,0.2586424017922846
1,2,2,0.7986893487194072
1,2,3,0.5716295161193049
1,2,4,0.3692146771207966
1,2,5,0.31107188870196123
1,2,6,0.27120683247290733
1,2,7,0.27080264129259235
1,3,2,0.8024912693750295
1,3,3,0.5411299169738671
1,3,4,0.32888528774826065
1,3,5,0.2992109694097008
1,3,6,0.26668659553085633
1,3,7,0.2722962399356783
1,4,2,0.7913729075342921
1,4,3,0.5824759882025409
1,4,4,0.368153667865045
1,4,5,0.32546415688713365
1,4,6,0.2792512833949352
1,4,7,0.2696877187835537
