repeat,fold,f1_macro,balanced_accuracy,average_precision,brier,edges,best_params
0,0,0.4490358126721763,0.5,0.23451051951051952,0.14442596235313668,5,"{""alpha"": 0.5, ""max_parents"": 1}"
0,1,0.4556213017751479,0.5,0.22492544538980752,0.1343188797635575,5,"{""alpha"": 0.5, ""max_parents"": 1}"
0,2,0.4418604651162791,0.5,0.36697812327854296,0.15516632183805265,5,"{""alpha"": 0.5, ""max_parents"": 1}"
0,3,0.4336283185840708,0.5,0.30792621605121606,0.17215195604118083,5,"{""alpha"": 0.5, ""max_parents"": 1}"
0,4,0.42342342342342343,0.5,0.33610062645165284,0.1895715670945316,5,"{""alpha"": 0.5, ""max_parents"": 1}"
1,0,0.43977591036414565,0.5,0.2679127966732463,0.15901201842646767,5,"{""alpha"": 0.5, ""max_parents"": 1}"
1,1,0.44668587896253603,0.5,0.3247693009444176,0.1463104197435939,5,"{""alpha"": 0.5, ""max_parents"": 1}"
1,2,0.4498567335243553,0.5,0.28929259491355613,0.13611839096621084,5,"{""alpha"": 0.5, ""max_parents"": 1}"
1,3,0.4418604651162791,0.5,0.25341141974328635,0.16618586286539497,5,"{""alpha"": 0.5, ""max_parents"": 1}"
1,4,0.425,0.5,0.31338784594173796,0.19006863791790907,5,"{""alpha"": 0.5, ""max_parents"": 1}"
