repeat,fold,cluster,cpu,errors,latency
0,0,0,0.7204936344851041,0.07963635307802779,109.75097504822189
0,0,1,0.2481120684378371,0.03010960703623558,44.854890139636794
0,1,0,0.721151127906316,0.07989195755734614,109.55684761508925
0,1,1,0.24907447981553427,0.030383024119446336,44.92964801400208
0,2,0,0.7218972693729391,0.07984482242183473,109.57374416932777
0,2,1,0.25151642096330884,0.030274606592329677,44.37060551365583
0,3,0,0.2500101133017343,0.029864139084171654,44.477778866499605
0,3,1,0.720365642041606,0.07985255709647468,109.89315650686294
0,4,0,0.250513731678097,0.029559152781901212,44.80246194233308
0,4,1,0.7197198149341983,0.07997836471963662,109.51695981925673
1,0,0,0.24880577731210393,0.03029875342867307,44.70639517384891
1,0,1,0.7234677139361928,0.08027039561607065,110.14867025096754
1,1,0,0.24894661785642683,0.030433947403643538,45.07602423252101
1,1,1,0.7217770390008248,0.08038914928085558,110.41998428901786
1,2,0,0.24880822514570497,0.029876853779645204,44.782386738645386
1,2,1,0.7189793633927899,0.07974415810365224,110.16199322406848
1,3,0,0.2511302070882885,0.02997096923376164,45.15958333761757
1,3,1,0.7218783105825015,0.07997924343883749,109.34055761801261
1,4,0,0.7196295309959155,0.08022211283203341,110.22011993258948
1,4,1,0.25093126915073793,0.030303766106779335,44.78303879262782
