model,feature_set,n_folds,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,brier_mean,brier_std
DummyPrior,-,10,0.4406748309538414,0.010595215256761438,0.5,0.0,0.21155797101449275,0.033630252815981754,0.16736079583239954,0.01964910983524818
GradientBoosting,BASE,10,0.490710157260995,0.03676756989507709,0.5189127812484925,0.02222274865139227,0.34121359311208976,0.06118954665501709,0.16263452980527102,0.022742244246409766
GradientBoosting,BASE+KB,10,0.47565371847632176,0.02791649797421493,0.5107553257362061,0.014059552496496987,0.33374198857508014,0.05921261058750387,0.16301618795224568,0.020780439725735816
GradientBoosting,BASE+LOCAL,10,0.48081499930935906,0.04108648552486023,0.5141956026942919,0.025416541395006265,0.3440589872470693,0.062374450880263735,0.16181555851038865,0.01939937408475096
LogicOnly,-,10,0.6013570615747895,0.052520993099491015,0.6127098291374026,0.06016381428992873,0.2805422265354733,0.04651422970297776,0.28271014492753627,0.045882595587976485
LogisticRegression,BASE,10,0.5806187225886179,0.03534233921320371,0.6285612842998768,0.05063016792415827,0.388817617223524,0.09279977969396336,0.22473635662430586,0.012750708868345603
LogisticRegression,BASE+KB,10,0.5533385628913734,0.03842618012011159,0.5893684751408206,0.04803956871182901,0.387433577880336,0.09179521038083709,0.21262409513446373,0.026109241197919197
LogisticRegression,BASE+LOCAL,10,0.5677203990127223,0.030983452563477242,0.6193784866089503,0.0494194413459855,0.39310805220195116,0.09495943883288746,0.2256134851427542,0.013235426129723329
RandomForest,BASE,10,0.48702221582790334,0.03728604044912331,0.5142334109083235,0.023739165332935165,0.32450708195772526,0.0755072566910365,0.16518411876666592,0.020338819378239347
RandomForest,BASE+KB,10,0.5006436850215941,0.03281689421152659,0.5227960588215727,0.02091648301429267,0.33498979236685134,0.07625197246591116,0.1642783115590032,0.020356065349753944
RandomForest,BASE+LOCAL,10,0.4932244307196744,0.02476140559705403,0.518804049125666,0.01733538598551881,0.33155779523501805,0.08726995855728972,0.16450788697421212,0.017850100964123202
