repeat,fold,method,sample_id,alarms,prediction,target
0,0,FixedThreshold,80,[],0,0
0,0,FixedThreshold,81,[],0,0
0,0,FixedThreshold,82,[],0,0
0,0,FixedThreshold,83,[],0,0
0,0,FixedThreshold,84,[],0,0
0,0,FixedThreshold,85,[],0,0
0,0,FixedThreshold,86,[],0,0
0,0,FixedThreshold,87,[],0,0
0,0,FixedThreshold,120,[],0,0
0,0,FixedThreshold,121,"[""n01"", ""n07""]",0,0
0,0,FixedThreshold,122,[],0,0
0,0,FixedThreshold,123,[],0,0
0,0,FixedThreshold,124,[],0,0
0,0,FixedThreshold,125,[],0,0
0,0,FixedThreshold,126,[],0,0
0,0,FixedThreshold,127,[],0,0
0,0,FixedThreshold,152,[],0,0
0,0,FixedThreshold,153,[],0,0
0,0,FixedThreshold,154,[],0,0
0,0,FixedThreshold,155,[],0,0
0,0,FixedThreshold,156,[],0,0
0,0,FixedThreshold,157,"[""n08""]",0,0
0,0,FixedThreshold,158,[],0,0
0,0,FixedThreshold,159,[],0,0
0,0,FixedThreshold,208,[],0,0
0,0,FixedThreshold,209,[],0,0
0,0,FixedThreshold,210,"[""n16""]",0,0
0,0,FixedThreshold,211,[],0,0
0,0,FixedThreshold,212,"[""n03"", ""n04""]",0,0
0,0,FixedThreshold,213,[],0,0
0,0,FixedThreshold,214,[],0,0
0,0,FixedThreshold,215,[],0,0
0,0,FixedThreshold,272,[],0,0
0,0,FixedThreshold,273,[],0,0
0,0,FixedThreshold,274,[],0,0
0,0,FixedThreshold,275,"[""n03""]",0,0
0,0,FixedThreshold,276,[],0,0
0,0,FixedThreshold,277,[],0,0
0,0,FixedThreshold,278,[],0,0
0,0,FixedThreshold,279,"[""n05""]",0,0
0,0,FixedThreshold,304,[],0,0
0,0,FixedThreshold,305,[],0,0
0,0,FixedThreshold,306,[],0,0
0,0,FixedThreshold,307,[],0,1
0,0,FixedThreshold,308,"[""n07""]",0,0
0,0,FixedThreshold,309,[],0,0
0,0,FixedThreshold,310,"[""n10""]",0,0
0,0,FixedThreshold,311,[],0,0
0,0,FixedThreshold,336,"[""n07""]",0,0
0,0,FixedThreshold,337,"[""n09""]",0,0
0,0,FixedThreshold,338,[],0,0
0,0,FixedThreshold,339,[],0,0
0,0,FixedThreshold,340,[],0,0
0,0,FixedThreshold,341,"[""n03"", ""n08""]",0,0
0,0,FixedThreshold,342,[],0,0
0,0,FixedThreshold,343,[],0,0
0,0,FixedThreshold,344,[],0,0
0,0,FixedThreshold,345,"[""n03""]",0,0
0,0,FixedThreshold,346,[],0,0
0,0,FixedThreshold,347,"[""n02"", ""n03"", ""n06""]",0,1
0,0,FixedThreshold,348,[],0,0
0,0,FixedThreshold,349,"[""n01""]",0,0
0,0,FixedThreshold,350,[],0,0
0,0,FixedThreshold,351,[],0,0
0,0,FixedThreshold,360,[],0,0
0,0,FixedThreshold,361,"[""n03""]",0,0
0,0,FixedThreshold,362,[],0,0
0,0,FixedThreshold,363,"[""n09""]",0,0
0,0,FixedThreshold,364,[],0,0
0,0,FixedThreshold,365,"[""n04"", ""n05""]",0,0
0,0,FixedThreshold,366,[],0,0
0,0,FixedThreshold,367,[],0,0
0,0,FixedThreshold,384,[],0,0
0,0,FixedThreshold,385,[],0,1
0,0,FixedThreshold,386,[],0,0
0,0,FixedThreshold,387,[],0,0
