repeat,fold,model,fraction,n_train,train_f1,test_f1
0,0,LogisticRegression,0.4,304,0.6248803827751196,0.49264332825976664
0,0,RandomForest,0.4,304,0.6441996557659209,0.5477520617185422
0,0,GradientBoosting,0.4,304,0.6749532210638867,0.5780845036465554
0,0,LogisticRegression,0.7,528,0.5866229335267261,0.4944852941176471
0,0,RandomForest,0.7,528,0.5205128205128206,0.4490358126721763
0,0,GradientBoosting,0.7,528,0.48672046955245785,0.4490358126721763
0,0,LogisticRegression,1.0,760,0.6050496086473349,0.5143273433705683
0,0,RandomForest,1.0,760,0.5264875659661906,0.47659203256760685
0,0,GradientBoosting,1.0,760,0.5264875659661906,0.44751381215469616
0,1,LogisticRegression,0.4,304,0.6157457565908271,0.5413105413105412
0,1,RandomForest,0.4,304,0.658152610441767,0.5381526104417671
0,1,GradientBoosting,0.4,304,0.658152610441767,0.5943496366457092
0,1,LogisticRegression,0.7,536,0.5961391944167329,0.5442890442890442
0,1,RandomForest,0.7,536,0.5467817083692839,0.489231358284675
0,1,GradientBoosting,0.7,536,0.591896186440678,0.5463191264529764
0,1,LogisticRegression,1.0,776,0.5889830508474576,0.5483421872137754
0,1,RandomForest,1.0,776,0.5423406862745098,0.489231358284675
0,1,GradientBoosting,1.0,776,0.5473355522767045,0.489231358284675
0,2,LogisticRegression,0.4,304,0.6078591117085557,0.5336134453781513
0,2,RandomForest,0.4,304,0.6058156537092725,0.46313851190070243
0,2,GradientBoosting,0.4,304,0.6448220924057355,0.4761904761904762
0,2,LogisticRegression,0.7,536,0.6017986314760508,0.5157378295270013
0,2,RandomForest,0.7,536,0.5637684511723937,0.43859649122807015
0,2,GradientBoosting,0.7,536,0.6007680084745763,0.4402332361516035
0,2,LogisticRegression,1.0,768,0.6135265700483092,0.5548443980015021
0,2,RandomForest,1.0,768,0.594072507995787,0.454511017109666
0,2,GradientBoosting,1.0,768,0.5784736954786975,0.4402332361516035
0,3,LogisticRegression,0.4,304,0.6425398484452574,0.54296875
0,3,RandomForest,0.4,304,0.7231558903882771,0.4661723818350324
0,3,GradientBoosting,0.4,304,0.7105720672241079,0.5030198446937014
0,3,LogisticRegression,0.7,536,0.6188627025185753,0.598375784422296
