repeat,fold,method,k,local_f1,local_false_alarm_rate,critical_f1_macro,critical_balanced_accuracy
0,0,FixedThreshold,1,0.36619718309859156,0.0007757951900698216,0.6954578226387887,0.6333333333333333
0,0,SingleCenter,1,0.8214285714285714,0.038789759503491075,0.9080459770114943,0.9830508474576272
0,0,KMeans,2,0.8013937282229965,0.04422032583397983,0.9214081047891935,0.9858757062146892
0,1,FixedThreshold,1,0.4610951008645533,0.0015238095238095239,0.7371463340432005,0.6785714285714286
0,1,SingleCenter,1,0.7429378531073446,0.06933333333333333,0.8105263157894737,0.9268292682926829
0,1,KMeans,2,0.7815750371471025,0.056,0.8493461203138623,0.9451219512195121
0,2,FixedThreshold,1,0.536741214057508,0.0016240357287860333,0.7642243143675809,0.7053571428571429
0,2,SingleCenter,1,0.7588532883642496,0.05805927730410069,0.8898565840938722,0.9672619047619048
0,2,KMeans,2,0.8093525179856115,0.04303694681282988,0.9257253384912959,0.9791666666666667
0,3,FixedThreshold,1,0.5209003215434084,0.0,0.7593984962406015,0.7
0,3,SingleCenter,1,0.773109243697479,0.05302435192458759,0.8421052631578947,0.9382716049382716
0,3,KMeans,2,0.7692307692307693,0.05420267085624509,0.8485992944594314,0.941358024691358
0,4,FixedThreshold,1,0.5482866043613707,0.00037764350453172205,0.7182077182077182,0.66
0,4,SingleCenter,1,0.7746243739565943,0.050981873111782476,0.884592266078942,0.9640718562874251
0,4,KMeans,2,0.7720465890183028,0.05173716012084592,0.846320448232026,0.9491017964071856
1,0,FixedThreshold,1,0.5310734463276836,0.0,0.7327875562832582,0.6730769230769231
1,0,SingleCenter,1,0.8024691358024691,0.048558421851289835,0.8875,0.963855421686747
1,0,KMeans,2,0.8024691358024691,0.048558421851289835,0.8875,0.963855421686747
1,1,FixedThreshold,1,0.47686832740213525,0.001554001554001554,0.7547892720306513,0.6923076923076923
1,1,SingleCenter,1,0.7706422018348624,0.04856254856254856,0.8427661510464058,0.9457831325301205
1,1,KMeans,2,0.7650273224043715,0.05011655011655012,0.8427661510464058,0.9457831325301205
1,2,FixedThreshold,1,0.5159420289855072,0.001986491855383393,0.7368180572055195,0.6739130434782609
1,2,SingleCenter,1,0.766412213740458,0.060786650774731825,0.8385996143005489,0.9497041420118344
1,2,KMeans,2,0.8070739549839229,0.04767580452920143,0.8698305084745763,0.9615384615384616
1,3,FixedThreshold,1,0.39490445859872614,0.00038387715930902113,0.7095798319327731,0.6538461538461539
1,3,SingleCenter,1,0.7917981072555205,0.050671785028790786,0.8875,0.963855421686747
1,3,KMeans,2,0.7880690737833596,0.05182341650671785,0.8796238244514107,0.9608433734939759
1,4,FixedThreshold,1,0.5177304964539007,0.00039556962025316455,0.7719089829114503,0.7113617376775271
1,4,SingleCenter,1,0.7689463955637708,0.04944620253164557,0.8375290882166279,0.9532163742690059
1,4,KMeans,2,0.7863894139886578,0.0446993670886076,0.9080239520958084,0.9766081871345029
