case,n_nodes,n_failures,strategy,repairs,cost,expanded,seconds,oracle_cost,excess_cost,valid
0,8,2,ucs,[],0,1,0.00012881600014225114,0,0,1
0,8,2,cheapest,[],0,1,9.94950005406281e-05,0,0,1
1,12,2,ucs,['n11'],2,2,0.0003040510000573704,2,0,1
1,12,2,cheapest,['n11'],2,2,0.0002775449993350776,2,0,1
2,16,2,ucs,['n00'],6,3,0.0015314530000978266,6,0,1
2,16,2,cheapest,"['n00', 'n05']",11,3,0.0012079600001015933,6,5,1
3,8,4,ucs,['n07'],8,3,0.0006127770002422039,8,0,1
3,8,4,cheapest,"['n03', 'n07']",12,3,0.0004254200002833386,8,4,1
4,12,4,ucs,[],0,1,0.0002064300006168196,0,0,1
4,12,4,cheapest,[],0,1,0.0001862760000221897,0,0,1
5,16,4,ucs,['n15'],8,5,0.00376942599996255,8,0,1
5,16,4,cheapest,"['n05', 'n10', 'n12', 'n15']",23,5,0.0023217349998958525,8,15,1
6,8,6,ucs,['n02'],1,2,0.0007036280003376305,1,0,1
6,8,6,cheapest,['n02'],1,2,0.0006860200001028716,1,0,1
7,12,6,ucs,['n11'],3,3,0.0011102349999418948,3,0,1
7,12,6,cheapest,"['n02', 'n11']",5,3,0.0009934329991665436,3,2,1
8,16,6,ucs,[],0,1,0.000579040999582503,0,0,1
8,16,6,cheapest,[],0,1,0.0005689259996870533,0,0,1
9,8,2,ucs,['n07'],4,3,0.0003396060001250589,4,0,1
9,8,2,cheapest,"['n06', 'n07']",5,3,0.00031904099978419254,4,1,1
10,12,2,ucs,['n11'],8,2,0.0002856739993148949,8,0,1
10,12,2,cheapest,['n11'],8,2,0.00030230500033212593,8,0,1
11,16,2,ucs,[],0,1,0.0002736429996730294,0,0,1
11,16,2,cheapest,[],0,1,0.00026984899977833265,0,0,1
12,8,4,ucs,"['n03', 'n06']",16,9,0.002071825000712124,16,0,1
12,8,4,cheapest,"['n03', 'n04', 'n06']",17,4,0.0010199830003330135,16,1,1
13,12,4,ucs,"['n01', 'n10']",11,10,0.004328613999859954,11,0,1
13,12,4,cheapest,"['n01', 'n08', 'n09', 'n10']",21,5,0.0015590670000165119,11,10,1
14,16,4,ucs,[],0,1,0.0004063759997734451,0,0,1
14,16,4,cheapest,[],0,1,0.0003593049996197806,0,0,1
15,8,6,ucs,['n02'],2,2,0.0007696949996898184,2,0,1
15,8,6,cheapest,['n02'],2,2,0.0007162829997469089,2,0,1
16,12,6,ucs,[],0,1,0.0003400960004000808,0,0,1
16,12,6,cheapest,[],0,1,0.0003246969999963767,0,0,1
17,16,6,ucs,['n03'],2,2,0.0022405730005630176,2,0,1
17,16,6,cheapest,['n03'],2,2,0.002570908000052441,2,0,1
18,8,2,ucs,[],0,1,9.633799982111668e-05,0,0,1
18,8,2,cheapest,[],0,1,9.561799924995285e-05,0,0,1
19,12,2,ucs,[],0,1,0.00015565900048386538,0,0,1
19,12,2,cheapest,[],0,1,0.00011955599984503351,0,0,1
20,16,2,ucs,[],0,1,0.0001819219996832544,0,0,1
20,16,2,cheapest,[],0,1,0.00015416099995491095,0,0,1
21,8,4,ucs,[],0,1,0.0001391019995935494,0,0,1
21,8,4,cheapest,[],0,1,0.00011884899959113682,0,0,1
22,12,4,ucs,['n04'],9,4,0.0032271560003209743,9,0,1
22,12,4,cheapest,"['n02', 'n03']",10,3,0.0017684670001472114,9,1,1
23,16,4,ucs,[],0,1,0.00038759700055379653,0,0,1
23,16,4,cheapest,[],0,1,0.00040628000078868354,0,0,1
24,8,6,ucs,"['n01', 'n04', 'n07']",13,38,0.009132953000516864,13,0,1
24,8,6,cheapest,"['n01', 'n02', 'n03', 'n04', 'n05', 'n07']",23,7,0.0018945199999507167,13,10,1
25,12,6,ucs,"['n04', 'n07']",8,9,0.005283618999783357,8,0,1
25,12,6,cheapest,"['n04', 'n05', 'n07', 'n10']",16,5,0.0028823259999626316,8,8,1
26,16,6,ucs,['n12'],4,9,0.012628171999494953,4,0,1
26,16,6,cheapest,"['n06', 'n07', 'n11', 'n12']",8,5,0.006830104000073334,4,4,1
27,8,2,ucs,['n02'],1,2,0.0003388459999769111,1,0,1
27,8,2,cheapest,['n02'],1,2,0.0003278460008004913,1,0,1
28,12,2,ucs,[],0,1,0.00022296499992080498,0,0,1
28,12,2,cheapest,[],0,1,0.0002553610001996276,0,0,1
29,16,2,ucs,['n02'],4,2,0.0025795889996516053,4,0,1
29,16,2,cheapest,['n02'],4,2,0.002470930000527005,4,0,1
30,8,4,ucs,"['n02', 'n03']",13,10,0.0026671430005080765,13,0,1
30,8,4,cheapest,"['n00', 'n02', 'n03', 'n06']",21,5,0.0011444260007920093,13,8,1
31,12,4,ucs,[],0,1,0.0003134279995720135,0,0,1
31,12,4,cheapest,[],0,1,0.00029764699957013363,0,0,1
32,16,4,ucs,['n02'],1,2,0.0009122790006586001,1,0,1
32,16,4,cheapest,['n02'],1,2,0.0008938399996623048,1,0,1
33,8,6,ucs,"['n02', 'n03', 'n07']",11,33,0.00837146699996083,11,0,1
33,8,6,cheapest,"['n01', 'n02', 'n03', 'n04', 'n05', 'n07']",22,7,0.0014271270001700032,11,11,1
34,12,6,ucs,"['n07', 'n11']",13,18,0.00792608099982317,13,0,1
