sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
0,17,21,145,6,11270,0.018002605000219774,6,1
1,17,20,151,5,8230,0.011355720000210567,5,1
2,17,23,150,5,9498,0.013385174000177358,8,1
3,17,22,145,5,8943,0.011751184000786452,6,1
4,17,17,111,5,6630,0.008840041000439669,0,1
5,17,18,117,5,7049,0.010161639000216383,1,1
6,17,21,122,5,8286,0.01128845099992759,4,1
7,17,20,121,5,7887,0.010786185000142723,3,1
8,15,14,91,5,4764,0.006480633000137459,1,1
9,15,17,128,6,8291,0.01116926099984994,8,1
10,15,18,138,6,8661,0.013349936999475176,9,1
11,15,14,89,5,4759,0.006861831000605889,1,1
12,15,13,87,5,4418,0.006846450000011828,0,1
13,15,13,87,5,4418,0.006127988000116602,0,1
14,15,18,106,5,6148,0.008353911999620323,5,1
15,15,20,129,5,7211,0.00999013799992099,8,1
16,18,22,183,6,12757,0.017140599000413204,10,1
17,18,18,135,6,9565,0.012999453000702488,2,1
18,18,19,126,5,8016,0.010780016000353498,5,1
19,18,16,113,5,6476,0.008605703999819525,0,1
20,18,17,137,5,7270,0.010658193000381289,4,1
21,18,17,115,5,6888,0.0094598039995617,1,1
22,18,18,146,6,9828,0.013932646000284876,3,1
23,18,18,118,5,7300,0.010102771999299875,2,1
24,13,16,94,5,4345,0.006805240000176127,6,1
25,13,11,67,5,2825,0.004505758999584941,0,1
26,13,11,67,5,2825,0.004691651000030106,0,1
27,13,13,73,5,3357,0.005655930999637349,2,1
28,13,13,71,5,3357,0.005199029999857885,2,1
29,13,13,89,6,4708,0.006869743999232014,5,1
30,13,11,67,5,2825,0.004682134999711707,0,1
31,13,14,94,5,3788,0.005962238999927649,4,1
32,13,11,69,5,3215,0.0068852300000799005,0,1
33,13,16,116,5,5312,0.011807846000010613,9,1
34,13,18,129,6,8171,0.011796198999945773,13,1
35,13,13,78,5,3815,0.006141564999779803,2,1
36,13,16,105,6,6084,0.008704379999471712,5,1
37,13,12,74,5,3505,0.006002451000313158,1,1
38,13,16,120,5,5662,0.008059578000029433,11,1
39,13,15,90,6,5592,0.008685566999702132,4,1
40,12,15,77,4,2285,0.0035588480004662415,4,1
41,12,12,58,4,1673,0.0027014520001102937,0,1
42,12,12,58,4,1673,0.0026304109996999614,0,1
