repeat,fold,k,silhouette
0,0,2,0.8019893737147612
0,0,3,0.5546289655777663
0,0,4,0.3490834279648995
0,0,5,0.318328406106017
0,0,6,0.2800193764533404
0,0,7,0.26645114866192193
0,1,2,0.8013316127059815
0,1,3,0.5610652235891205
0,1,4,0.3377436970325695
0,1,5,0.266566551551818
0,1,6,0.24607604996255375
0,1,7,0.26494448385301156
0,2,2,0.7922172131155392
0,2,3,0.5330435968027737
0,2,4,0.33672244847845456
0,2,5,0.29261099694116033
0,2,6,0.2535180198069149
0,2,7,0.2604095385245129
0,3,2,0.8075404462681303
0,3,3,0.5548513127702818
0,3,4,0.3336545272424461
0,3,5,0.2863063608925081
0,3,6,0.24225036932781968
0,3,7,0.23480518344867388
0,4,2,0.7992077114422946
0,4,3,0.5533491708460044
0,4,4,0.3279892606083322
0,4,5,0.28790535208992823
0,4,6,0.2652836974419111
0,4,7,0.2578623900712476
1,0,2,0.8010365489401258
1,0,3,0.5490580775521391
1,0,4,0.34698406706565266
1,0,5,0.29663254708855435
1,0,6,0.2532737145566968
1,0,7,0.257998590083621
1,1,2,0.8011085717577806
1,1,3,0.5542417904167649
1,1,4,0.36598845478734904
1,1,5,0.3081686494902704
1,1,6,0.25228018584389794
1,1,7,0.25150995065202486
1,2,2,0.8002766632189139
1,2,3,0.5232324275642597
1,2,4,0.3330323287664768
1,2,5,0.28816440120164394
1,2,6,0.2378296655807708
1,2,7,0.25330934990258447
1,3,2,0.8046496832759837
1,3,3,0.5224486219600432
1,3,4,0.3288502878096375
1,3,5,0.29015283507982237
1,3,6,0.2542335220230969
1,3,7,0.2515963550020417
1,4,2,0.7957423383005893
1,4,3,0.5501081856760802
1,4,4,0.3724686463895881
1,4,5,0.3316597385776764
1,4,6,0.29207206010301995
1,4,7,0.276125592022973
