scenario,model,comparison,f1_delta_mean,f1_delta_std,positive_folds,n_folds
standard,LogisticRegression,BASE+KB minus BASE,0.04132748253898969,0.047240319122808454,8,10
standard,LogisticRegression,BASE+KB minus BASE+LOCAL,0.013023099362133094,0.04566819897869176,7,10
standard,RandomForest,BASE+KB minus BASE,0.030974898307299676,0.05337816437111337,7,10
standard,RandomForest,BASE+KB minus BASE+LOCAL,0.03781448866562505,0.04226753200421467,8,10
standard,GradientBoosting,BASE+KB minus BASE,0.07168162288719464,0.05018500339162952,9,10
standard,GradientBoosting,BASE+KB minus BASE+LOCAL,0.040659694073947567,0.03495023944450807,9,10
redundant,LogisticRegression,BASE+KB minus BASE,-0.02728015969724456,0.03995888944289008,2,10
redundant,LogisticRegression,BASE+KB minus BASE+LOCAL,-0.014381836121348895,0.0210927064806712,3,10
redundant,RandomForest,BASE+KB minus BASE,0.013621469193690722,0.030136275510648302,7,10
redundant,RandomForest,BASE+KB minus BASE+LOCAL,0.007419254301919731,0.029553606556403086,4,10
redundant,GradientBoosting,BASE+KB minus BASE,-0.015056438784673226,0.04696231079357817,3,10
redundant,GradientBoosting,BASE+KB minus BASE+LOCAL,-0.005161280833037296,0.04898847847903296,4,10
dense,LogisticRegression,BASE+KB minus BASE,0.08531441203257878,0.03390099860528599,10,10
dense,LogisticRegression,BASE+KB minus BASE+LOCAL,0.051506051875770766,0.03422195345793207,9,10
dense,RandomForest,BASE+KB minus BASE,0.10334389455869694,0.03116400499647805,10,10
dense,RandomForest,BASE+KB minus BASE+LOCAL,0.05786385057363935,0.03716549346284984,9,10
dense,GradientBoosting,BASE+KB minus BASE,0.09560465339100929,0.029074791924020214,10,10
dense,GradientBoosting,BASE+KB minus BASE+LOCAL,0.0546313846416208,0.045426852760186265,9,10
