scenario,model,feature_set,n_folds,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,brier_mean,brier_std
standard,DummyPrior,-,10,0.4008192601358155,0.012034391413962673,0.5,0.0,0.3304528985507246,0.03328691857290641,0.2218152250454434,0.011534649307452164
standard,GradientBoosting,BASE,10,0.4889440996508017,0.04827005201725566,0.5254068055620588,0.027867907841316132,0.4477479948079721,0.040024776876456586,0.21654345283652843,0.01587273460077505
standard,GradientBoosting,BASE+KB,10,0.5606257225379964,0.026213495704984092,0.569185971650564,0.019186715298581767,0.4886854647703375,0.043216879133989576,0.21114671150214964,0.01435588676244752
standard,GradientBoosting,BASE+LOCAL,10,0.5199660284640488,0.035071110141972554,0.542801844081962,0.021695540880871875,0.45929352266597007,0.03003831952020659,0.21551742229205698,0.01695247162974218
standard,LogicOnly,-,10,0.6273001729265375,0.02131295844589237,0.6253658627188925,0.02105675806969927,0.41728132056370554,0.041242121729816415,0.32111956521739127,0.021116619708106698
standard,LogisticRegression,BASE,10,0.573418244475052,0.04255358434285859,0.5883393130106281,0.04912693179790151,0.46362536768821894,0.0290879880991343,0.23840490967732536,0.011433141075531124
standard,LogisticRegression,BASE+KB,10,0.6147457270140417,0.032391764842324616,0.6215581757931606,0.03392955311652113,0.5093687883062398,0.04505320523152861,0.22085871224284553,0.016272908784739405
standard,LogisticRegression,BASE+LOCAL,10,0.6017226276519085,0.04806169025595528,0.6210821474601905,0.05592266145552574,0.49260844379163665,0.042015572880731676,0.23392910442830533,0.013442330505577483
standard,RandomForest,BASE,10,0.543176070049979,0.03365148891391911,0.5559011051204535,0.023552628769522112,0.44282732282423465,0.04790387957127514,0.22099304195140204,0.016360693432391247
standard,RandomForest,BASE+KB,10,0.5741509683572785,0.0376786113683087,0.5805041833574278,0.028413826370599245,0.49916366095579817,0.05334761670599781,0.20833989092295688,0.013837143687035506
standard,RandomForest,BASE+LOCAL,10,0.5363364796916537,0.03870805908775472,0.5529218378923042,0.02543820675873227,0.4827407880591637,0.03391801423084466,0.21176970392695602,0.016340083074699408
redundant,DummyPrior,-,10,0.4406748309538414,0.010595215256761438,0.5,0.0,0.21155797101449275,0.033630252815981754,0.16736079583239954,0.01964910983524818
redundant,GradientBoosting,BASE,10,0.490710157260995,0.03676756989507709,0.5189127812484925,0.02222274865139227,0.34121359311208976,0.06118954665501709,0.16263452980527102,0.022742244246409766
redundant,GradientBoosting,BASE+KB,10,0.47565371847632176,0.02791649797421493,0.5107553257362061,0.014059552496496987,0.33374198857508014,0.05921261058750387,0.16301618795224568,0.020780439725735816
redundant,GradientBoosting,BASE+LOCAL,10,0.48081499930935906,0.04108648552486023,0.5141956026942919,0.025416541395006265,0.3440589872470693,0.062374450880263735,0.16181555851038865,0.01939937408475096
redundant,LogicOnly,-,10,0.6013570615747895,0.052520993099491015,0.6127098291374026,0.06016381428992873,0.2805422265354733,0.04651422970297776,0.28271014492753627,0.045882595587976485
redundant,LogisticRegression,BASE,10,0.5806187225886179,0.03534233921320371,0.6285612842998768,0.05063016792415827,0.388817617223524,0.09279977969396336,0.22473635662430586,0.012750708868345603
redundant,LogisticRegression,BASE+KB,10,0.5533385628913734,0.03842618012011159,0.5893684751408206,0.04803956871182901,0.387433577880336,0.09179521038083709,0.21262409513446373,0.026109241197919197
redundant,LogisticRegression,BASE+LOCAL,10,0.5677203990127223,0.030983452563477242,0.6193784866089503,0.0494194413459855,0.39310805220195116,0.09495943883288746,0.2256134851427542,0.013235426129723329
redundant,RandomForest,BASE,10,0.48702221582790334,0.03728604044912331,0.5142334109083235,0.023739165332935165,0.32450708195772526,0.0755072566910365,0.16518411876666592,0.020338819378239347
redundant,RandomForest,BASE+KB,10,0.5006436850215941,0.03281689421152659,0.5227960588215727,0.02091648301429267,0.33498979236685134,0.07625197246591116,0.1642783115590032,0.020356065349753944
redundant,RandomForest,BASE+LOCAL,10,0.4932244307196744,0.02476140559705403,0.518804049125666,0.01733538598551881,0.33155779523501805,0.08726995855728972,0.16450788697421212,0.017850100964123202
dense,DummyPrior,-,10,0.36736291829977097,0.012623626331463213,0.5,0.0,0.58125,0.031461475805761925,0.2438995361328125,0.005203718109757951
dense,GradientBoosting,BASE,10,0.550524066615983,0.04032090401747164,0.5617584842813549,0.03971690127932947,0.6973987241236335,0.031984930592535155,0.2317472913786704,0.00635362311559471
dense,GradientBoosting,BASE+KB,10,0.6461287200069923,0.04124992567318725,0.6472801522978285,0.038830164392503114,0.7576758972928268,0.04065670468685137,0.2127756998713471,0.011005828364060498
dense,GradientBoosting,BASE+LOCAL,10,0.5914973353653716,0.05027421397904387,0.5949120450375499,0.050195959736292144,0.703457097031875,0.027637497111739226,0.229655007632427,0.009471229112318354
dense,LogicOnly,-,10,0.6549673894727632,0.03750097472763824,0.6563781876059939,0.03891378838252667,0.676085275084625,0.03438052853897108,0.3354166666666666,0.03286710990610898
dense,LogisticRegression,BASE,10,0.5799603956560916,0.04407501996549371,0.5845316361446871,0.04398445933653551,0.7170376985366916,0.03239433613191505,0.23302349259498487,0.009755533955528268
dense,LogisticRegression,BASE+KB,10,0.6652748076886703,0.031603359280069174,0.6685879288565999,0.03450927764156273,0.7769191406816747,0.03723309602090801,0.21038877955753205,0.010629761891763912
dense,LogisticRegression,BASE+LOCAL,10,0.6137687558128996,0.04940512555047992,0.6162671299847107,0.04882709686268249,0.7371090056321863,0.02723274894554,0.22676133526785294,0.01305350242118295
dense,RandomForest,BASE,10,0.5549403420837677,0.03561632111182068,0.5647624704861964,0.037052977110677225,0.7018552654675466,0.02095723011566377,0.23244411671779036,0.0053665917441819205
dense,RandomForest,BASE+KB,10,0.6582842366424647,0.038742649829981816,0.6575151228284728,0.038323212131439084,0.7591718382356559,0.04624725052810406,0.21304573124559784,0.01254027250564692
dense,RandomForest,BASE+LOCAL,10,0.6004203860688253,0.05454224542784772,0.6016200624030503,0.054639958661895055,0.7155800308295456,0.022857104257442185,0.2290692520748972,0.011567936022579139
