model,feature_set,n_folds,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,brier_mean,brier_std
DummyPrior,-,10,0.4008192601358155,0.012034391413962673,0.5,0.0,0.3304528985507246,0.03328691857290641,0.2218152250454434,0.011534649307452164
GradientBoosting,BASE,10,0.4889440996508017,0.04827005201725566,0.5254068055620588,0.027867907841316132,0.4477479948079721,0.040024776876456586,0.21654345283652843,0.01587273460077505
GradientBoosting,BASE+KB,10,0.5606257225379964,0.026213495704984092,0.569185971650564,0.019186715298581767,0.4886854647703375,0.043216879133989576,0.21114671150214964,0.01435588676244752
GradientBoosting,BASE+LOCAL,10,0.5199660284640488,0.035071110141972554,0.542801844081962,0.021695540880871875,0.45929352266597007,0.03003831952020659,0.21551742229205698,0.01695247162974218
LogicOnly,-,10,0.6273001729265375,0.02131295844589237,0.6253658627188925,0.02105675806969927,0.41728132056370554,0.041242121729816415,0.32111956521739127,0.021116619708106698
LogisticRegression,BASE,10,0.573418244475052,0.04255358434285859,0.5883393130106281,0.04912693179790151,0.46362536768821894,0.0290879880991343,0.23840490967732536,0.011433141075531124
LogisticRegression,BASE+KB,10,0.6147457270140417,0.032391764842324616,0.6215581757931606,0.03392955311652113,0.5093687883062398,0.04505320523152861,0.22085871224284553,0.016272908784739405
LogisticRegression,BASE+LOCAL,10,0.6017226276519085,0.04806169025595528,0.6210821474601905,0.05592266145552574,0.49260844379163665,0.042015572880731676,0.23392910442830533,0.013442330505577483
RandomForest,BASE,10,0.543176070049979,0.03365148891391911,0.5559011051204535,0.023552628769522112,0.44282732282423465,0.04790387957127514,0.22099304195140204,0.016360693432391247
RandomForest,BASE+KB,10,0.5741509683572785,0.0376786113683087,0.5805041833574278,0.028413826370599245,0.49916366095579817,0.05334761670599781,0.20833989092295688,0.013837143687035506
RandomForest,BASE+LOCAL,10,0.5363364796916537,0.03870805908775472,0.5529218378923042,0.02543820675873227,0.4827407880591637,0.03391801423084466,0.21176970392695602,0.016340083074699408
