sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
0,10,12,38,4,704,0.0012815860000046086,3,1
1,10,9,32,4,473,0.0010268649994031875,0,1
2,10,11,47,5,962,0.001648914000725199,6,1
3,10,11,46,5,971,0.001659593000113091,6,1
4,10,13,52,5,1184,0.001970839000023261,8,1
5,10,10,42,5,860,0.0015025830007289187,5,1
6,10,11,53,5,1061,0.0023868410007708007,9,1
7,10,9,32,4,473,0.000922017999982927,0,1
8,17,23,104,5,5636,0.008142022000356519,8,1
9,17,20,112,6,6588,0.00954984600048192,10,1
10,17,19,84,5,4074,0.006116519999523007,1,1
11,17,18,82,5,3786,0.005929904000367969,0,1
12,17,18,82,5,3786,0.005543714999475924,0,1
13,17,25,120,5,6112,0.008592189999944821,9,1
14,17,21,98,5,4897,0.00874168100017414,5,1
15,17,18,82,5,3786,0.005502873000295949,0,1
16,13,12,70,5,2598,0.005325649999576854,0,1
17,13,15,84,5,3462,0.004998170999897411,4,1
18,13,15,86,6,4315,0.00681603900011396,3,1
19,13,18,111,6,5806,0.008135721000144258,10,1
20,13,15,78,5,3424,0.00491435299954901,4,1
21,13,14,76,5,3178,0.005226866000157315,3,1
22,13,15,90,6,4535,0.006431404999602819,5,1
23,13,17,84,5,3916,0.005814856000142754,6,1
24,12,13,59,4,1798,0.002776601000732626,2,1
25,12,12,55,4,1626,0.0024909889998525614,1,1
26,12,14,70,4,2110,0.0031945939999786788,5,1
27,12,13,63,4,1870,0.0028417559997251374,3,1
28,12,11,53,4,1462,0.0023105099999156664,0,1
29,12,13,59,4,1790,0.003063569000005373,2,1
30,12,12,58,4,1626,0.0026789459998326492,1,1
31,12,12,57,4,1695,0.002607825000268349,2,1
32,11,12,43,3,628,0.0011179840003023855,0,1
33,11,12,43,3,628,0.001311674000135099,0,1
34,11,12,43,3,628,0.0011796409999078605,0,1
35,11,15,61,4,1465,0.0023492919999625883,7,1
36,11,14,53,3,868,0.001418591999936325,4,1
37,11,12,43,3,628,0.0011088940000263392,0,1
38,11,13,47,3,743,0.0012728770007015555,2,1
39,11,13,56,4,1193,0.0020071549997737748,4,1
40,16,18,91,5,3969,0.006024778000210063,3,1
41,16,18,89,5,3774,0.00570391200017184,1,1
42,16,20,105,5,4742,0.012399976999404316,7,1
43,16,17,83,5,3494,0.006416084000193223,0,1
44,16,22,136,6,7540,0.01097568500063062,14,1
45,16,19,111,6,6273,0.008933495999372099,11,1
46,16,22,107,5,5092,0.00708630900044227,7,1
47,16,19,114,7,7635,0.010574216000350134,12,1
48,15,16,63,3,1271,0.001993442000639334,2,1
49,15,16,61,3,1225,0.002122087999850919,1,1
50,15,16,75,4,2178,0.0034542749999673106,6,1
51,15,15,59,3,1108,0.0018149049992643995,0,1
52,15,16,61,3,1225,0.0019263260001025628,1,1
53,15,20,87,4,2822,0.004943381999510166,9,1
54,15,15,59,3,1108,0.0018105219996868982,0,1
55,15,16,61,3,1225,0.001960603000043193,1,1
56,14,17,85,5,3458,0.005101753999952052,3,1
